,Word,ConcValCombo,Category
0,toxin,concrete-negative,Noun
1,garbage,concrete-negative,Noun
2,mud,concrete-negative,Noun
3,corpse,concrete-negative,Noun
4,slave,concrete-negative,Noun
5,choke,concrete-negative,Verb
6,fester,concrete-negative,Verb
7,writhe,concrete-negative,Verb
8,bleed,concrete-negative,Verb
9,stab,concrete-negative,Verb
10,terror,abstract-negative,Noun
11,hatred,abstract-negative,Noun
12,anxiety,abstract-negative,Noun
13,failure,abstract-negative,Noun
14,grief,abstract-negative,Noun
15,befall,abstract-negative,Verb
16,criticize,abstract-negative,Verb
17,exploit,abstract-negative,Verb
18,resent,abstract-negative,Verb
19,obsess,abstract-negative,Verb
20,compassion,abstract-positive,Noun
21,freedom,abstract-positive,Noun
22,gratitude,abstract-positive,Noun
23,inspiration,abstract-positive,Noun
24,kindness,abstract-positive,Noun
25,admire,abstract-positive,Verb
26,cherish,abstract-positive,Verb
27,enlighten,abstract-positive,Verb
28,fulfill,abstract-positive,Verb
29,imagine,abstract-positive,Verb
30,beach,concrete-postiive,Noun
31,chocolate,concrete-postiive,Noun
32,fireplace,concrete-postiive,Noun
33,flowers,concrete-postiive,Noun
34,home,concrete-postiive,Noun
35,glide,concrete-postiive,Verb
36,breathe,concrete-postiive,Verb
37,glisten,concrete-postiive,Verb
38,eat,concrete-postiive,Verb
39,running,concrete-postiive,Verb
