,Word,ConcValCombo
1,build,concrete-positive
2,cook,concrete-positive
3,cuddle,concrete-positive
4,eat,concrete-positive
5,hug,concrete-positive
6,kiss,concrete-positive
7,running,concrete-positive
8,sail,concrete-positive
9,smile,concrete-positive
10,swing,concrete-positive
11,bleed,concrete-negative
12,kill,concrete-negative
13,murder,concrete-negative
14,puke,concrete-negative
15,scratch,concrete-negative
16,slap,concrete-negative
17,smack,concrete-negative
18,spit,concrete-negative
19,stab,concrete-negative
20,vomit,concrete-negative
21,annoy,abstract-negative
22,befall,abstract-negative
23,criticize,abstract-negative
24,exploit,abstract-negative
25,loathe,abstract-negative
26,obsess,abstract-negative
27,resent,abstract-negative
28,scorn,abstract-negative
29,violate,abstract-negative
30,worry,abstract-negative
31,imagine,abstract-positive
32,enlighten,abstract-positive
33,admired,abstract-positive
34,cherish,abstract-positive
35,hope,abstract-positive
36,believe,abstract-positive
37,fulfill,abstract-positive
38,esteem,abstract-positive
39,justify,abstract-positive
40,respect,abstract-positive
