"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2"
"1","663bab395c5db0c5bc0944d3","control_Dissimilar","0","DissimilarControl","Enter","Exit"
"2","663bab395c5db0c5bc0944d3","control_Dissimilar","0","DissimilarControl","Give","Take"
"3","663bab395c5db0c5bc0944d3","test_ValenceMatch","46","ValenceMatchingOnly","crash","displease"
"4","663bab395c5db0c5bc0944d3","control_MaxMatch","51","MaxMatch","slash","hit"
"5","663bab395c5db0c5bc0944d3","control_Similar","99","SimilarControl","Get","Obtain"
"6","663bab395c5db0c5bc0944d3","test_ValenceMatch","90","ValenceMatchingOnly","caress","cherish"
"7","663bab395c5db0c5bc0944d3","control_MaxMatch","99","MaxMatch","offend","dishonor"
"8","663bab395c5db0c5bc0944d3","control_Dissimilar","0","DissimilarControl","Rise","Fall"
"9","663bab395c5db0c5bc0944d3","test_ValenceMatch","58","ValenceMatchingOnly","tear","dishonor"
"10","663bab395c5db0c5bc0944d3","control_Similar","99","SimilarControl","End","Finish"
"11","663bab395c5db0c5bc0944d3","control_MaxMatch","56","MaxMatch","despair","embarrass"
"12","663bab395c5db0c5bc0944d3","test_ValenceMatch","46","ValenceMatchingOnly","clean","admire"
"13","663bab395c5db0c5bc0944d3","control_MaxMatch","22","MaxMatch","displease","criticize"
"14","663bab395c5db0c5bc0944d3","control_Similar","99","SimilarControl","Show","Display"
"15","663bab395c5db0c5bc0944d3","test_ValenceMatch","39","ValenceMatchingOnly","hug","impress"
"16","663bab395c5db0c5bc0944d3","control_Similar","99","SimilarControl","Begin","Start"
"17","663bab395c5db0c5bc0944d3","control_MaxMismatch","0","MaxMismatch","produce","displease"
"18","663bab395c5db0c5bc0944d3","test_ConceptualMatch","0","ConceptualMatchingOnly","like","embarrass"
"19","663bab395c5db0c5bc0944d3","control_Similar","99","SimilarControl","Buy","Purchase"
"20","663bab395c5db0c5bc0944d3","control_MaxMismatch","0","MaxMismatch","appreciate","slash"
"21","663bab395c5db0c5bc0944d3","test_ConceptualMatch","44","ConceptualMatchingOnly","like","criticize"
"22","663bab395c5db0c5bc0944d3","control_MaxMismatch","0","MaxMismatch","cherish","corrode"
"23","663bab395c5db0c5bc0944d3","control_MaxMatch","82","MaxMatch","displease","discourage"
"24","663bab395c5db0c5bc0944d3","test_ConceptualMatch","0","ConceptualMatchingOnly","cuddle","crash"
"25","663bab395c5db0c5bc0944d3","control_Dissimilar","0","DissimilarControl","Arrive","Leave"
"26","663bab395c5db0c5bc0944d3","control_Dissimilar","0","DissimilarControl","Open","Close"
"27","663bab395c5db0c5bc0944d3","test_ValenceMatch","48","ValenceMatchingOnly","produce","like"
"28","663bab395c5db0c5bc0944d3","control_Dissimilar","3","DissimilarControl","Push","Pull"
"29","663bab395c5db0c5bc0944d3","control_Similar","99","SimilarControl","Help","Assist"
"30","663bab395c5db0c5bc0944d3","test_ValenceMatch","22","ValenceMatchingOnly","build","encourage"
"31","663bab395c5db0c5bc0944d3","control_MaxMatch","37","MaxMatch","content","admire"
"32","663bab395c5db0c5bc0944d3","control_MaxMismatch","37","MaxMismatch","impress","tear"
"33","663bab395c5db0c5bc0944d3","test_ConceptualMatch","9","ConceptualMatchingOnly","caress","burn"
