,Unnamed: 0,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,W2VSimilarity,CosineSimilarity
0,95,corpse,feast,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.2042776197195053,0.28488392
1,30,cocaine,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.13982288539409637,0.36518717
2,158,dictator,chipmunk,animate-negative,animate-positive,ConceptualMatchingOnly,0.09902650117874146,0.22117457
3,115,asshole,bunny,animate-negative,animate-positive,ConceptualMatchingOnly,0.2239616960287094,0.23186153
4,69,gunshot,meadow,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.11580866575241089,0.1207819
5,170,tapeworm,comedian,animate-negative,animate-positive,ConceptualMatchingOnly,0.146876260638237,0.2378171
6,182,intruder,sibling,animate-negative,animate-positive,ConceptualMatchingOnly,0.12867885828018188,0.32781082
7,78,flood,sandwich,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,-0.06580554693937302,0.32701167
8,56,poison,doughnut,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,,0.2634204
9,82,smallpox,award,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.013675098307430744,0.22643313
10,101,asshole,inmate,animate-negative,animate-negative,MaxMatch,0.1555858701467514,0.269608
11,92,slave,widow,animate-negative,animate-negative,MaxMatch,0.17287811636924744,0.3147139
12,17,wiretap,cocaine,inanimate-negative,inanimate-negative,MaxMatch,0.16167694330215454,0.31807554
13,79,laughter,meadow,inanimate-positive,inanimate-positive,MaxMatch,0.1992022693157196,0.10510071
14,150,puppy,chipmunk,animate-positive,animate-positive,MaxMatch,0.39475342631340027,0.25095037
15,67,award,sandwich,inanimate-positive,inanimate-positive,MaxMatch,0.04415508359670639,0.26046073
16,80,feast,doughnut,inanimate-positive,inanimate-positive,MaxMatch,,0.21503273
17,162,duckling,princess,animate-positive,animate-positive,MaxMatch,0.27753594517707825,0.28248143
18,0,heroin,swastika,inanimate-negative,inanimate-negative,MaxMatch,0.10624588280916214,0.14559287
19,38,poison,corpse,inanimate-negative,inanimate-negative,MaxMatch,0.24004462361335754,0.45442376
20,135,pizza,dictator,inanimate-positive,animate-negative,MaxMismatch,0.05785436928272247,0.2695052
21,73,flood,duckling,inanimate-negative,animate-positive,MaxMismatch,0.0764656588435173,0.28155512
22,157,feast,tapeworm,inanimate-positive,animate-negative,MaxMismatch,0.1491827368736267,0.20990492
23,28,wiretap,chipmunk,inanimate-negative,animate-positive,MaxMismatch,0.08723708987236023,0.16426483
24,54,poison,kitten,inanimate-negative,animate-positive,MaxMismatch,0.19728189706802368,0.39995313
25,114,sunshine,inmate,inanimate-positive,animate-negative,MaxMismatch,0.026621311902999878,0.1300371
26,180,sandwich,slave,inanimate-positive,animate-negative,MaxMismatch,0.051148995757102966,0.37097606
27,9,heroin,husband,inanimate-negative,animate-positive,MaxMismatch,0.11451105028390884,0.3692743
28,35,cocaine,bunny,inanimate-negative,animate-positive,MaxMismatch,0.04307705909013748,0.3393312
29,47,excrement,princess,inanimate-negative,animate-positive,MaxMismatch,0.061510320752859116,0.20744437
30,5,poison,poison,inanimate-negative,inanimate-negative,SelfPair,1.0,1.0
31,13,pizza,pizza,inanimate-positive,inanimate-positive,SelfPair,1.0,0.99999994
32,7,flood,flood,inanimate-negative,inanimate-negative,SelfPair,1.0,1.0
33,0,heroin,heroin,inanimate-negative,inanimate-negative,SelfPair,1.0,1.0
34,37,princess,princess,animate-positive,animate-positive,SelfPair,1.0000001192092896,1.0000001
35,20,slave,slave,animate-negative,animate-negative,SelfPair,0.9999999403953552,1.0000002
36,9,corpse,corpse,inanimate-negative,inanimate-negative,SelfPair,0.9999999403953552,1.0
37,19,meadow,meadow,inanimate-positive,inanimate-positive,SelfPair,1.0,1.0
38,35,bunny,bunny,animate-positive,animate-positive,SelfPair,1.0,0.9999999
39,39,husband,husband,animate-positive,animate-positive,SelfPair,1.0,1.0000002
40,123,award,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,0.046827785670757294,0.2820654
41,37,cocaine,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,0.12495729327201843,0.25009695
42,4,heroin,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,0.17400166392326355,0.25168866
43,138,pizza,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,0.14440806210041046,0.27234882
44,145,laughter,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,0.14066773653030396,0.30089748
45,177,dollar,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,0.08140061795711517,0.24249643
46,90,corpse,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,0.2066410481929779,0.38355938
47,83,smallpox,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,0.10775649547576904,0.17967024
48,110,sunshine,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,0.04286222904920578,0.22170669
49,169,doughnut,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,,0.31157464
