"","ID.Ibex","Response","FeatureMatch","Word1","Word2","WordPair"
"1","671a80f4ca33770b00602f07","0","ConceptualMatchingOnly","grief","gratitude","grief-gratitude"
"2","671a80f4ca33770b00602f07","99","SelfPair","running","running","running-running"
"3","671a80f4ca33770b00602f07","0","MaxMatch","toxin","corpse","toxin-corpse"
"4","671a80f4ca33770b00602f07","0","MaxMatch","garbage","failure","garbage-failure"
"5","671a80f4ca33770b00602f07","0","MaxMatch","choke","obsess","choke-obsess"
"6","671a80f4ca33770b00602f07","0","MaxMismatch","exploit","kindness","exploit-kindness"
"7","671a80f4ca33770b00602f07","84","ValenceMatchingOnly","compassion","fulfill","compassion-fulfill"
"8","671a80f4ca33770b00602f07","0","MaxMatch","chocolate","fireplace","chocolate-fireplace"
"9","671a80f4ca33770b00602f07","45","MaxMismatch","fester","freedom","fester-freedom"
"10","671a80f4ca33770b00602f07","99","SelfPair","toxin","toxin","toxin-toxin"
"11","671a80f4ca33770b00602f07","0","ConceptualMatchingOnly","toxin","chocolate","toxin-chocolate"
"12","671a80f4ca33770b00602f07","0","ValenceMatchingOnly","failure","obsess","failure-obsess"
"13","671a80f4ca33770b00602f07","1","ValenceMatchingOnly","garbage","fester","garbage-fester"
"14","671a80f4ca33770b00602f07","0","MaxMismatch","compassion","glisten","compassion-glisten"
"15","671a80f4ca33770b00602f07","99","SelfPair","choke","choke","choke-choke"
"16","671a80f4ca33770b00602f07","99","SelfPair","glisten","glisten","glisten-glisten"
"17","671a80f4ca33770b00602f07","0","MaxMismatch","corpse","admire","corpse-admire"
"18","671a80f4ca33770b00602f07","0","ValenceMatchingOnly","toxin","stab","toxin-stab"
"19","671a80f4ca33770b00602f07","31","MaxMatch","freedom","gratitude","freedom-gratitude"
"20","671a80f4ca33770b00602f07","8","MaxMismatch","grief","running","grief-running"
"21","671a80f4ca33770b00602f07","0","MaxMismatch","choke","gratitude","choke-gratitude"
"22","671a80f4ca33770b00602f07","7","ConceptualMatchingOnly","fulfill","glide","fulfill-glide"
"23","671a80f4ca33770b00602f07","99","SelfPair","obsess","obsess","obsess-obsess"
"24","671a80f4ca33770b00602f07","0","ValenceMatchingOnly","freedom","cherish","freedom-cherish"
"25","671a80f4ca33770b00602f07","0","MaxMatch","writhe","exploit","writhe-exploit"
"26","671a80f4ca33770b00602f07","0","ConceptualMatchingOnly","enlighten","breathe","enlighten-breathe"
