"","ID.Ibex","Response","FeatureMatch","Word1","Word2","WordPair"
"1","677f08ec6e5c69e32cf8e4a2","99","SelfPair","worthless","worthless","worthless-worthless"
"2","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","sexist","newborn","sexist-newborn"
"3","677f08ec6e5c69e32cf8e4a2","99","MaxMatch","evil","soulless","evil-soulless"
"4","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","evil","pregnant","evil-pregnant"
"5","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","worthless","thorny","worthless-thorny"
"6","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","starry","pleasant","starry-pleasant"
"7","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","worthless","awful","worthless-awful"
"8","677f08ec6e5c69e32cf8e4a2","99","SelfPair","handmade","handmade","handmade-handmade"
"9","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","pregnant","bloodshot","pregnant-bloodshot"
"10","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","soulless","wrinkled","soulless-wrinkled"
"11","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","newborn","handmade","newborn-handmade"
"12","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","sexist","mindful","sexist-mindful"
"13","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","crappy","divine","crappy-divine"
"14","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","stupid","female","stupid-female"
"15","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","sinful","rusted","sinful-rusted"
"16","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","lovable","thorny","lovable-thorny"
"17","677f08ec6e5c69e32cf8e4a2","99","SelfPair","sexist","sexist","sexist-sexist"
"18","677f08ec6e5c69e32cf8e4a2","99","SelfPair","female","female","female-female"
"19","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","human","splendid","human-splendid"
"20","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","stupid","helpful","stupid-helpful"
"21","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","newborn","sensible","newborn-sensible"
"22","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","soulless","blooming","soulless-blooming"
"23","677f08ec6e5c69e32cf8e4a2","99","SelfPair","disloyal","disloyal","disloyal-disloyal"
"24","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","worthless","handmade","worthless-handmade"
"25","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","lilac","honest","lilac-honest"
"26","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","orange","divine","orange-divine"
"27","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","starry","toothless","starry-toothless"
"28","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","heartless","starry","heartless-starry"
"29","677f08ec6e5c69e32cf8e4a2","99","SelfPair","stupid","stupid","stupid-stupid"
"30","677f08ec6e5c69e32cf8e4a2","0","ValenceMatchingOnly","disloyal","toothless","disloyal-toothless"
"31","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","human","pregnant","human-pregnant"
"32","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","helpful","toothless","helpful-toothless"
"33","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","sexist","disloyal","sexist-disloyal"
"34","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","lilac","hairy","lilac-hairy"
"35","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","honest","splendid","honest-splendid"
"36","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","rusted","wrinkled","rusted-wrinkled"
"37","677f08ec6e5c69e32cf8e4a2","99","SelfPair","hairy","hairy","hairy-hairy"
"38","677f08ec6e5c69e32cf8e4a2","99","SelfPair","bloody","bloody","bloody-bloody"
"39","677f08ec6e5c69e32cf8e4a2","0","MaxMatch","blooming","orange","blooming-orange"
"40","677f08ec6e5c69e32cf8e4a2","0","ConceptualMatchingOnly","soulless","honest","soulless-honest"
"41","677f08ec6e5c69e32cf8e4a2","0","MaxMismatch","sensible","wrinkled","sensible-wrinkled"
