,Unnamed: 0,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,W2VSimilarity,CosineSimilarity
0,95,smelly,decorative,physical-negative,physical-positive,ConceptualMatchingOnly,0.08084557,0.31933323
1,30,comatose,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly,0.13507216,0.2579041
2,158,hilarious,infuriating,social-positive,social-negative,ConceptualMatchingOnly,0.45146307,0.29609656
3,115,joyful,dreaded,social-positive,social-negative,ConceptualMatchingOnly,0.11795352,0.40857965
4,69,rancid,newborn,physical-negative,physical-positive,ConceptualMatchingOnly,-0.010932714,0.13452747
5,170,dependable,insulting,social-positive,social-negative,ConceptualMatchingOnly,-0.026850512,0.26271594
6,182,courageous,grumpy,social-positive,social-negative,ConceptualMatchingOnly,0.18502727,0.3477621
7,78,seasick,radiant,physical-negative,physical-positive,ConceptualMatchingOnly,0.15960956,0.1676328
8,56,lifeless,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly,0.06782716,0.19812569
9,82,itchy,blooming,physical-negative,physical-positive,ConceptualMatchingOnly,0.21155536,0.2523544
10,101,sunny,oceanic,physical-positive,physical-positive,MaxMatch,0.17703244,0.3516947
11,92,fluffy,floral,physical-positive,physical-positive,MaxMatch,0.259255,0.32117927
12,17,excruciating,comatose,physical-negative,physical-negative,MaxMatch,0.2568942,0.19270653
13,79,carefree,witty,social-positive,social-positive,MaxMatch,0.27410325,0.2567478
14,150,greedy,infuriating,social-negative,social-negative,MaxMatch,0.29390308,0.2317754
15,67,cheerful,courageous,social-positive,social-positive,MaxMatch,0.3032259,0.3945387
16,80,hilarious,selfless,social-positive,social-positive,MaxMatch,0.20091966,0.22915852
17,162,heartbroken,stingy,social-negative,social-negative,MaxMatch,0.13855752,0.2584916
18,0,moldy,nauseous,physical-negative,physical-negative,MaxMatch,0.34059185,0.3354452
19,38,lifeless,smelly,physical-negative,physical-negative,MaxMatch,0.27338824,0.28038567
20,135,floral,dreaded,physical-positive,social-negative,MaxMismatch,-0.040146213,0.18963794
21,73,seasick,easygoing,physical-negative,social-positive,MaxMismatch,0.21212277,0.22363552
22,157,decorative,stingy,physical-positive,social-negative,MaxMismatch,0.07925381,0.26541692
23,28,excruciating,courageous,physical-negative,social-positive,MaxMismatch,0.17650457,0.22478348
24,54,lifeless,carefree,physical-negative,social-positive,MaxMismatch,0.2148195,0.39338103
25,114,sunny,racist,physical-positive,social-negative,MaxMismatch,0.09508885,0.26802048
26,180,radiant,insulting,physical-positive,social-negative,MaxMismatch,-0.01959635,0.15180147
27,9,moldy,witty,physical-negative,social-positive,MaxMismatch,0.10117816,0.21708186
28,35,comatose,hilarious,physical-negative,social-positive,MaxMismatch,0.1497403,0.16496508
29,47,obese,dependable,physical-negative,social-positive,MaxMismatch,0.016390223,0.26320732
30,5,lifeless,lifeless,physical-negative,physical-negative,SelfPair,1.0,1.0000001
31,13,easygoing,easygoing,social-positive,social-positive,SelfPair,1.0,1.0000002
32,7,seasick,seasick,physical-negative,physical-negative,SelfPair,0.99999994,1.0
33,0,moldy,moldy,physical-negative,physical-negative,SelfPair,0.99999994,0.99999994
34,37,stingy,stingy,social-negative,social-negative,SelfPair,1.0,1.0
35,20,fluffy,fluffy,physical-positive,physical-positive,SelfPair,1.0,1.0000001
36,9,smelly,smelly,physical-negative,physical-negative,SelfPair,1.0,1.0
37,19,witty,witty,social-positive,social-positive,SelfPair,1.0,1.0000001
38,35,dreaded,dreaded,social-negative,social-negative,SelfPair,1.0,1.0
39,39,hateful,hateful,social-negative,social-negative,SelfPair,1.0,1.0000001
40,123,cheerful,floral,social-positive,physical-positive,ValenceMatchingOnly,0.24360268,0.38123715
41,37,comatose,stingy,physical-negative,social-negative,ValenceMatchingOnly,0.12632303,0.28508672
42,4,moldy,racist,physical-negative,social-negative,ValenceMatchingOnly,0.14737801,0.2858454
43,138,easygoing,radiant,social-positive,physical-positive,ValenceMatchingOnly,0.21654658,0.17171586
44,145,carefree,decorative,social-positive,physical-positive,ValenceMatchingOnly,0.08307578,0.18629521
45,177,dependable,homemade,social-positive,physical-positive,ValenceMatchingOnly,0.106471255,0.3189414
46,90,smelly,insulting,physical-negative,social-negative,ValenceMatchingOnly,0.23761037,0.31808126
47,83,itchy,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,0.14482999,0.18208122
48,110,joyful,fluffy,social-positive,physical-positive,ValenceMatchingOnly,0.25289935,0.3875789
49,169,selfless,newborn,social-positive,physical-positive,ValenceMatchingOnly,0.1028829,0.29713804
