"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence"
"1","6629399343a821d14a29e076","control_Similar","99","SimilarControl","help","assist","help-assist","",""
"2","6629399343a821d14a29e076","control_Dissimilar","0","DissimilarControl","increase","decrease","increase-decrease","",""
"3","6629399343a821d14a29e076","control_Similar","99","SimilarControl","get","obtain","get-obtain","",""
"4","6629399343a821d14a29e076","control_MaxMatch_Positive_Concrete","0","MaxMatch","blooming","starry","blooming-starry","ConcreteMatch","PositiveMatch"
"5","6629399343a821d14a29e076","control_MaxMatch_Positive_Abstract","0","MaxMatch","lovable","thankful","lovable-thankful","AbstractMatch","PositiveMatch"
"6","6629399343a821d14a29e076","test_ValenceMatch_Negative","63","ValenceMatchingOnly","stupid","dirty","stupid-dirty","AbstractMismatch","NegativeMatch"
"7","6629399343a821d14a29e076","test_ConceptualMatch_Abstract","0","ConceptualMatchingOnly","evil","thankful","evil-thankful","ConceptualMatch:abstract","NegativeMismatch"
"8","6629399343a821d14a29e076","control_Dissimilar","0","DissimilarControl","rise","fall","rise-fall","",""
"9","6629399343a821d14a29e076","control_MaxMatch_Negative_Abstract","63","MaxMatch","worthless","soulless","worthless-soulless","AbstractMatch","NegativeMatch"
"10","6629399343a821d14a29e076","control_MaxMismatch","0","MaxMismatch","honest","headless","honest-headless","AbstractMismatch","PositiveMismatch"
"11","6629399343a821d14a29e076","test_ConceptualMatch_Concrete","0","ConceptualMatchingOnly","handmade","rusted","handmade-rusted","ConceptualMatch:concrete","PositiveMismatch"
"12","6629399343a821d14a29e076","control_MaxMatch_Negative_Concrete","0","MaxMatch","dirty","freezing","dirty-freezing","ConcreteMatch","NegativeMatch"
"13","6629399343a821d14a29e076","test_ValenceMatch_Positive","0","ValenceMatchingOnly","pregnant","possible","pregnant-possible","ConcreteMismatch","PositiveMatch"
"14","6629399343a821d14a29e076","control_Similar","99","SimilarControl","speak","talk","speak-talk","",""
"15","6629399343a821d14a29e076","control_Dissimilar","0","DissimilarControl","add","remove","add-remove","",""
"16","6629399343a821d14a29e076","control_Similar","99","SimilarControl","need","require","need-require","",""
"17","6629399343a821d14a29e076","control_MaxMatch_Positive_Concrete","0","MaxMatch","lilac","starry","lilac-starry","ConcreteMatch","PositiveMatch"
"18","6629399343a821d14a29e076","control_MaxMatch_Positive_Abstract","32","MaxMatch","lovable","sensible","lovable-sensible","AbstractMatch","PositiveMatch"
"19","6629399343a821d14a29e076","test_ValenceMatch_Negative","0","ValenceMatchingOnly","crappy","bloodshot","crappy-bloodshot","AbstractMismatch","NegativeMatch"
"20","6629399343a821d14a29e076","test_ConceptualMatch_Abstract","0","ConceptualMatchingOnly","worthless","possible","worthless-possible","ConceptualMatch:abstract","NegativeMismatch"
"21","6629399343a821d14a29e076","control_Dissimilar","0","DissimilarControl","give","take","give-take","",""
"22","6629399343a821d14a29e076","control_MaxMatch_Negative_Abstract","37","MaxMatch","worthless","disloyal","worthless-disloyal","AbstractMatch","NegativeMatch"
"23","6629399343a821d14a29e076","control_MaxMismatch","0","MaxMismatch","lovable","rusted","lovable-rusted","AbstractMismatch","PositiveMismatch"
"24","6629399343a821d14a29e076","test_ConceptualMatch_Concrete","0","ConceptualMatchingOnly","handmade","hairy","handmade-hairy","ConceptualMatch:concrete","PositiveMismatch"
"25","6629399343a821d14a29e076","control_MaxMatch_Negative_Concrete","0","MaxMatch","bloodshot","rusted","bloodshot-rusted","ConcreteMatch","NegativeMatch"
"26","6629399343a821d14a29e076","test_ValenceMatch_Positive","0","ValenceMatchingOnly","human","possible","human-possible","ConcreteMismatch","PositiveMatch"
"27","6629399343a821d14a29e076","control_Similar","99","SimilarControl","show","display","show-display","",""
"28","6629399343a821d14a29e076","control_Dissimilar","0","DissimilarControl","push","pull","push-pull","",""
"29","6629399343a821d14a29e076","control_Similar","99","SimilarControl","end","finish","end-finish","",""
