,Unnamed: 0,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,W2VSimilarity,BertSimilarity
0,95,swing,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.15943585336208344,0.36607894
1,30,eat,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.2509182393550873,0.26871192
2,158,obsess,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.17859548330307007,0.29415435
3,115,befall,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.14009280502796173,0.24945918
4,69,running,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.08766385912895203,0.32742232
5,170,scorn,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.13772016763687134,0.16469006
6,182,violate,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.07404576241970062,0.30748114
7,78,sail,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.11741487681865692,0.26503813
8,56,kiss,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.29866957664489746,0.35036957
9,82,smile,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.06208697333931923,0.22820513
10,101,befall,loathe,abstract-negative,abstract-negative,MaxMatch,0.22662398219108582,0.18381298
11,92,annoy,exploit,abstract-negative,abstract-negative,MaxMatch,0.1898968666791916,0.2660139
12,17,cuddle,eat,concrete-positive,concrete-positive,MaxMatch,0.3694162368774414,0.2638327
13,79,scratch,vomit,concrete-negative,concrete-negative,MaxMatch,0.18281129002571106,0.34709123
14,150,enlighten,justify,abstract-positive,abstract-positive,MaxMatch,0.17741659283638,0.33932418
15,67,murder,stab,concrete-negative,concrete-negative,MaxMatch,0.2702140212059021,0.41968986
16,80,slap,smack,concrete-negative,concrete-negative,MaxMatch,0.5249817967414856,0.6028036
17,162,cherish,esteem,abstract-positive,abstract-positive,MaxMatch,0.3326251804828644,0.21677655
18,0,build,cook,concrete-positive,concrete-positive,MaxMatch,0.13647256791591644,0.20751534
19,38,kiss,swing,concrete-positive,concrete-positive,MaxMatch,0.10239042341709137,0.313644
20,135,puke,believe,concrete-negative,abstract-positive,MaxMismatch,0.09888818114995956,0.3020877
21,73,sail,exploit,concrete-positive,abstract-negative,MaxMismatch,0.12791138887405396,0.22766729
22,157,slap,esteem,concrete-negative,abstract-positive,MaxMismatch,0.10811001062393188,0.30511132
23,28,cuddle,violate,concrete-positive,abstract-negative,MaxMismatch,0.012560292147099972,0.15317783
24,54,kiss,loathe,concrete-positive,abstract-negative,MaxMismatch,0.21547776460647583,0.21514738
25,114,kill,hope,concrete-negative,abstract-positive,MaxMismatch,0.08677810430526733,0.33031332
26,180,stab,imagine,concrete-negative,abstract-positive,MaxMismatch,0.18002949655056,0.18425006
27,9,build,worry,concrete-positive,abstract-negative,MaxMismatch,0.046843260526657104,0.22887698
28,35,eat,obsess,concrete-positive,abstract-negative,MaxMismatch,0.38056886196136475,0.30457658
29,47,hug,scorn,concrete-positive,abstract-negative,MaxMismatch,0.20453481376171112,0.23887002
30,5,kiss,kiss,concrete-positive,concrete-positive,SelfPair,1.0,1.0
31,13,puke,puke,concrete-negative,concrete-negative,SelfPair,1.0,0.99999994
32,7,sail,sail,concrete-positive,concrete-positive,SelfPair,0.9999999403953552,1.0
33,0,build,build,concrete-positive,concrete-positive,SelfPair,1.0,1.0
34,37,esteem,esteem,abstract-positive,abstract-positive,SelfPair,1.0,1.0
35,20,annoy,annoy,abstract-negative,abstract-negative,SelfPair,1.0,0.99999994
36,9,swing,swing,concrete-positive,concrete-positive,SelfPair,1.0,1.0000001
37,19,vomit,vomit,concrete-negative,concrete-negative,SelfPair,0.9999999403953552,1.0
38,35,believe,believe,abstract-positive,abstract-positive,SelfPair,1.0,1.0000001
39,39,respect,respect,abstract-positive,abstract-positive,SelfPair,1.0,1.0
40,123,murder,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,0.017677081748843193,0.3022803
41,37,eat,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,0.026903873309493065,0.3089692
42,4,build,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,0.1806018352508545,0.2658955
43,138,puke,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,0.10425056517124176,0.28608045
44,145,scratch,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,0.13533683121204376,0.2051027
45,177,spit,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,0.23785117268562317,0.18605788
46,90,swing,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,0.050577908754348755,0.18580763
