"","Experiment","Task","MeanReactionTime","CILow","CIHigh","YMin","YMax"
"1","Ex1a: Conc-Abs (Verbs)","Concrete",982.599396191361,14.075,15.0001335346028,968.524396191361,997.599529725964
"2","Ex1a: Conc-Abs (Verbs)","Valence",876.394730966734,11.9556318374637,12.586676713552,864.43909912927,888.981407680286
"3","Ex1b: Conc-Abs (Nouns)","Concrete",926.900337837838,12.9053149131273,14.2714888996139,913.99502292471,941.171826737452
"4","Ex1b: Conc-Abs (Nouns)","Valence",777.682774049217,9.85097874720361,10.3752964205817,767.831795302013,788.058070469799
"5","Ex1c: Conc-Abs (Adjs)","Concrete",924.315090673575,13.6021939766839,15.4165479274611,910.712896696891,939.731638601036
"6","Ex1c: Conc-Abs (Adjs)","Valence",791.689489489489,11.2292267267267,10.3392792792794,780.460262762763,802.028768768769
"7","Ex2a: Phys-Psych (Verbs)","PhysPsych",1004.68571428571,15.3031520314548,15.2105570117956,989.382562254259,1019.89627129751
"8","Ex2a: Phys-Psych (Verbs)","Valence",829.937778879524,10.7875185919683,10.8086886465048,819.150260287556,840.746467526029
"9","Ex2b: Phys-Soc (Adjs)","SocPhys",1040.65464190981,24.0439389920423,20.5604509283821,1016.61070291777,1061.2150928382
"10","Ex2b: Phys-Soc (Adjs)","Valence",860.221682061254,15.1281234807972,14.2444701020904,845.093558580457,874.466152163345
"11","Ex3: Animacy (Nouns)","Animacy",835.104653966723,11.7282312515072,12.5437243790693,823.376422715216,847.648378345792
"12","Ex3: Animacy (Nouns)","Valence",798.911700844391,10.8892641737033,10.3793727382389,788.022436670688,809.29107358263
"13","Ex4: Syntactic (N v. V)","Syntactic",918.770011273957,15.4834272829762,16.159958662157,903.286583990981,934.929969936114
"14","Ex4: Syntactic (N v. V)","Valence",711.824207492795,9.31340958213252,9.47563040345824,702.510797910663,721.299837896254
