"","WordPair","ID.true","Experiment","Response","Valence","Conceptual","FeatureMatch","ExperimentType"
"1","add-remove","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"2","help-assist","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"3","spit-worry","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"4","imagine-fulfill","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"5","worry-esteem","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"6","cook-running","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"7","exploit-obsess","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"8","swing-justify","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"9","annoy-hope","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"10","puke-spit","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",69,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"11","give-take","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"12","show-display","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"13","smile-kill","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"14","come-go","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"15","need-require","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"16","puke-worry","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"17","believe-esteem","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
