Word,FeatureCombo
moldy,physical-negative
nauseous,physical-negative
excruciating,physical-negative
comatose,physical-negative
obese,physical-negative
lifeless,physical-negative
rancid,physical-negative
seasick,physical-negative
itchy,physical-negative
smelly,physical-negative
brotherly,social-positive
joyful,social-positive
cheerful,social-positive
easygoing,social-positive
carefree,social-positive
hilarious,social-positive
selfless,social-positive
dependable,social-positive
courageous,social-positive
witty,social-positive
fluffy,physical-positive
sunny,physical-positive
blooming,physical-positive
floral,physical-positive
oceanic,physical-positive
decorative,physical-positive
nutritious,physical-positive
homemade,physical-positive
radiant,physical-positive
newborn,physical-positive
insulting,social-negative
greedy,social-negative
grumpy,social-negative
heartbroken,social-negative
racist,social-negative
dreaded,social-negative
humiliating,social-negative
stingy,social-negative
infuriating,social-negative
hateful,social-negative
