Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
moldy,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,floral,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
moldy,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,floral,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
nauseous,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,floral,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
excruciating,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,floral,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
comatose,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
obese,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
obese,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
obese,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
obese,floral,physical-negative,physical-positive,ConceptualMatchingOnly
obese,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
obese,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
obese,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
obese,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
obese,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
obese,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,floral,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
lifeless,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,floral,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
rancid,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,floral,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
seasick,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,floral,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
itchy,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,sunny,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,floral,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,homemade,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
smelly,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
brotherly,insulting,social-positive,social-negative,ConceptualMatchingOnly
brotherly,greedy,social-positive,social-negative,ConceptualMatchingOnly
brotherly,grumpy,social-positive,social-negative,ConceptualMatchingOnly
brotherly,heartbroken,social-positive,social-negative,ConceptualMatchingOnly
brotherly,racist,social-positive,social-negative,ConceptualMatchingOnly
brotherly,dreaded,social-positive,social-negative,ConceptualMatchingOnly
brotherly,humiliating,social-positive,social-negative,ConceptualMatchingOnly
brotherly,stingy,social-positive,social-negative,ConceptualMatchingOnly
brotherly,infuriating,social-positive,social-negative,ConceptualMatchingOnly
brotherly,hateful,social-positive,social-negative,ConceptualMatchingOnly
joyful,insulting,social-positive,social-negative,ConceptualMatchingOnly
joyful,greedy,social-positive,social-negative,ConceptualMatchingOnly
joyful,grumpy,social-positive,social-negative,ConceptualMatchingOnly
joyful,heartbroken,social-positive,social-negative,ConceptualMatchingOnly
joyful,racist,social-positive,social-negative,ConceptualMatchingOnly
joyful,dreaded,social-positive,social-negative,ConceptualMatchingOnly
joyful,humiliating,social-positive,social-negative,ConceptualMatchingOnly
joyful,stingy,social-positive,social-negative,ConceptualMatchingOnly
joyful,infuriating,social-positive,social-negative,ConceptualMatchingOnly
joyful,hateful,social-positive,social-negative,ConceptualMatchingOnly
cheerful,insulting,social-positive,social-negative,ConceptualMatchingOnly
cheerful,greedy,social-positive,social-negative,ConceptualMatchingOnly
cheerful,grumpy,social-positive,social-negative,ConceptualMatchingOnly
cheerful,heartbroken,social-positive,social-negative,ConceptualMatchingOnly
cheerful,racist,social-positive,social-negative,ConceptualMatchingOnly
cheerful,dreaded,social-positive,social-negative,ConceptualMatchingOnly
cheerful,humiliating,social-positive,social-negative,ConceptualMatchingOnly
cheerful,stingy,social-positive,social-negative,ConceptualMatchingOnly
cheerful,infuriating,social-positive,social-negative,ConceptualMatchingOnly
cheerful,hateful,social-positive,social-negative,ConceptualMatchingOnly
easygoing,insulting,social-positive,social-negative,ConceptualMatchingOnly
easygoing,greedy,social-positive,social-negative,ConceptualMatchingOnly
easygoing,grumpy,social-positive,social-negative,ConceptualMatchingOnly
easygoing,heartbroken,social-positive,social-negative,ConceptualMatchingOnly
easygoing,racist,social-positive,social-negative,ConceptualMatchingOnly
easygoing,dreaded,social-positive,social-negative,ConceptualMatchingOnly
easygoing,humiliating,social-positive,social-negative,ConceptualMatchingOnly
