Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
moldy,brotherly,physical-negative,social-positive,MaxMismatch
moldy,joyful,physical-negative,social-positive,MaxMismatch
moldy,cheerful,physical-negative,social-positive,MaxMismatch
moldy,easygoing,physical-negative,social-positive,MaxMismatch
moldy,carefree,physical-negative,social-positive,MaxMismatch
moldy,hilarious,physical-negative,social-positive,MaxMismatch
moldy,selfless,physical-negative,social-positive,MaxMismatch
moldy,dependable,physical-negative,social-positive,MaxMismatch
moldy,courageous,physical-negative,social-positive,MaxMismatch
moldy,witty,physical-negative,social-positive,MaxMismatch
nauseous,brotherly,physical-negative,social-positive,MaxMismatch
nauseous,joyful,physical-negative,social-positive,MaxMismatch
nauseous,cheerful,physical-negative,social-positive,MaxMismatch
nauseous,easygoing,physical-negative,social-positive,MaxMismatch
nauseous,carefree,physical-negative,social-positive,MaxMismatch
nauseous,hilarious,physical-negative,social-positive,MaxMismatch
nauseous,selfless,physical-negative,social-positive,MaxMismatch
nauseous,dependable,physical-negative,social-positive,MaxMismatch
nauseous,courageous,physical-negative,social-positive,MaxMismatch
nauseous,witty,physical-negative,social-positive,MaxMismatch
excruciating,brotherly,physical-negative,social-positive,MaxMismatch
excruciating,joyful,physical-negative,social-positive,MaxMismatch
excruciating,cheerful,physical-negative,social-positive,MaxMismatch
excruciating,easygoing,physical-negative,social-positive,MaxMismatch
excruciating,carefree,physical-negative,social-positive,MaxMismatch
excruciating,hilarious,physical-negative,social-positive,MaxMismatch
excruciating,selfless,physical-negative,social-positive,MaxMismatch
excruciating,dependable,physical-negative,social-positive,MaxMismatch
excruciating,courageous,physical-negative,social-positive,MaxMismatch
excruciating,witty,physical-negative,social-positive,MaxMismatch
comatose,brotherly,physical-negative,social-positive,MaxMismatch
comatose,joyful,physical-negative,social-positive,MaxMismatch
comatose,cheerful,physical-negative,social-positive,MaxMismatch
comatose,easygoing,physical-negative,social-positive,MaxMismatch
comatose,carefree,physical-negative,social-positive,MaxMismatch
comatose,hilarious,physical-negative,social-positive,MaxMismatch
comatose,selfless,physical-negative,social-positive,MaxMismatch
comatose,dependable,physical-negative,social-positive,MaxMismatch
comatose,courageous,physical-negative,social-positive,MaxMismatch
comatose,witty,physical-negative,social-positive,MaxMismatch
obese,brotherly,physical-negative,social-positive,MaxMismatch
obese,joyful,physical-negative,social-positive,MaxMismatch
obese,cheerful,physical-negative,social-positive,MaxMismatch
obese,easygoing,physical-negative,social-positive,MaxMismatch
obese,carefree,physical-negative,social-positive,MaxMismatch
obese,hilarious,physical-negative,social-positive,MaxMismatch
obese,selfless,physical-negative,social-positive,MaxMismatch
obese,dependable,physical-negative,social-positive,MaxMismatch
obese,courageous,physical-negative,social-positive,MaxMismatch
obese,witty,physical-negative,social-positive,MaxMismatch
lifeless,brotherly,physical-negative,social-positive,MaxMismatch
lifeless,joyful,physical-negative,social-positive,MaxMismatch
lifeless,cheerful,physical-negative,social-positive,MaxMismatch
lifeless,easygoing,physical-negative,social-positive,MaxMismatch
lifeless,carefree,physical-negative,social-positive,MaxMismatch
lifeless,hilarious,physical-negative,social-positive,MaxMismatch
lifeless,selfless,physical-negative,social-positive,MaxMismatch
lifeless,dependable,physical-negative,social-positive,MaxMismatch
lifeless,courageous,physical-negative,social-positive,MaxMismatch
lifeless,witty,physical-negative,social-positive,MaxMismatch
rancid,brotherly,physical-negative,social-positive,MaxMismatch
rancid,joyful,physical-negative,social-positive,MaxMismatch
rancid,cheerful,physical-negative,social-positive,MaxMismatch
rancid,easygoing,physical-negative,social-positive,MaxMismatch
rancid,carefree,physical-negative,social-positive,MaxMismatch
rancid,hilarious,physical-negative,social-positive,MaxMismatch
rancid,selfless,physical-negative,social-positive,MaxMismatch
rancid,dependable,physical-negative,social-positive,MaxMismatch
rancid,courageous,physical-negative,social-positive,MaxMismatch
rancid,witty,physical-negative,social-positive,MaxMismatch
seasick,brotherly,physical-negative,social-positive,MaxMismatch
seasick,joyful,physical-negative,social-positive,MaxMismatch
seasick,cheerful,physical-negative,social-positive,MaxMismatch
seasick,easygoing,physical-negative,social-positive,MaxMismatch
seasick,carefree,physical-negative,social-positive,MaxMismatch
seasick,hilarious,physical-negative,social-positive,MaxMismatch
seasick,selfless,physical-negative,social-positive,MaxMismatch
seasick,dependable,physical-negative,social-positive,MaxMismatch
seasick,courageous,physical-negative,social-positive,MaxMismatch
seasick,witty,physical-negative,social-positive,MaxMismatch
itchy,brotherly,physical-negative,social-positive,MaxMismatch
itchy,joyful,physical-negative,social-positive,MaxMismatch
itchy,cheerful,physical-negative,social-positive,MaxMismatch
itchy,easygoing,physical-negative,social-positive,MaxMismatch
itchy,carefree,physical-negative,social-positive,MaxMismatch
itchy,hilarious,physical-negative,social-positive,MaxMismatch
itchy,selfless,physical-negative,social-positive,MaxMismatch
itchy,dependable,physical-negative,social-positive,MaxMismatch
itchy,courageous,physical-negative,social-positive,MaxMismatch
itchy,witty,physical-negative,social-positive,MaxMismatch
smelly,brotherly,physical-negative,social-positive,MaxMismatch
smelly,joyful,physical-negative,social-positive,MaxMismatch
smelly,cheerful,physical-negative,social-positive,MaxMismatch
smelly,easygoing,physical-negative,social-positive,MaxMismatch
