Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
worthless,awful,abstract-negative,abstract-negative,MaxMatch
worthless,evil,abstract-negative,abstract-negative,MaxMatch
worthless,soulless,abstract-negative,abstract-negative,MaxMatch
worthless,heartless,abstract-negative,abstract-negative,MaxMatch
worthless,sexist,abstract-negative,abstract-negative,MaxMatch
worthless,crappy,abstract-negative,abstract-negative,MaxMatch
worthless,stupid,abstract-negative,abstract-negative,MaxMatch
worthless,sinful,abstract-negative,abstract-negative,MaxMatch
worthless,disloyal,abstract-negative,abstract-negative,MaxMatch
awful,evil,abstract-negative,abstract-negative,MaxMatch
awful,soulless,abstract-negative,abstract-negative,MaxMatch
awful,heartless,abstract-negative,abstract-negative,MaxMatch
awful,sexist,abstract-negative,abstract-negative,MaxMatch
awful,crappy,abstract-negative,abstract-negative,MaxMatch
awful,stupid,abstract-negative,abstract-negative,MaxMatch
awful,sinful,abstract-negative,abstract-negative,MaxMatch
awful,disloyal,abstract-negative,abstract-negative,MaxMatch
evil,soulless,abstract-negative,abstract-negative,MaxMatch
evil,heartless,abstract-negative,abstract-negative,MaxMatch
evil,sexist,abstract-negative,abstract-negative,MaxMatch
evil,crappy,abstract-negative,abstract-negative,MaxMatch
evil,stupid,abstract-negative,abstract-negative,MaxMatch
evil,sinful,abstract-negative,abstract-negative,MaxMatch
evil,disloyal,abstract-negative,abstract-negative,MaxMatch
soulless,heartless,abstract-negative,abstract-negative,MaxMatch
soulless,sexist,abstract-negative,abstract-negative,MaxMatch
soulless,crappy,abstract-negative,abstract-negative,MaxMatch
soulless,stupid,abstract-negative,abstract-negative,MaxMatch
soulless,sinful,abstract-negative,abstract-negative,MaxMatch
soulless,disloyal,abstract-negative,abstract-negative,MaxMatch
heartless,sexist,abstract-negative,abstract-negative,MaxMatch
heartless,crappy,abstract-negative,abstract-negative,MaxMatch
heartless,stupid,abstract-negative,abstract-negative,MaxMatch
heartless,sinful,abstract-negative,abstract-negative,MaxMatch
heartless,disloyal,abstract-negative,abstract-negative,MaxMatch
sexist,crappy,abstract-negative,abstract-negative,MaxMatch
sexist,stupid,abstract-negative,abstract-negative,MaxMatch
sexist,sinful,abstract-negative,abstract-negative,MaxMatch
sexist,disloyal,abstract-negative,abstract-negative,MaxMatch
crappy,stupid,abstract-negative,abstract-negative,MaxMatch
crappy,sinful,abstract-negative,abstract-negative,MaxMatch
crappy,disloyal,abstract-negative,abstract-negative,MaxMatch
stupid,sinful,abstract-negative,abstract-negative,MaxMatch
stupid,disloyal,abstract-negative,abstract-negative,MaxMatch
sinful,disloyal,abstract-negative,abstract-negative,MaxMatch
sunny,lilac,concrete-positive,concrete-positive,MaxMatch
sunny,human,concrete-positive,concrete-positive,MaxMatch
sunny,female,concrete-positive,concrete-positive,MaxMatch
sunny,newborn,concrete-positive,concrete-positive,MaxMatch
sunny,blooming,concrete-positive,concrete-positive,MaxMatch
sunny,orange,concrete-positive,concrete-positive,MaxMatch
sunny,starry,concrete-positive,concrete-positive,MaxMatch
sunny,pregnant,concrete-positive,concrete-positive,MaxMatch
sunny,handmade,concrete-positive,concrete-positive,MaxMatch
lilac,human,concrete-positive,concrete-positive,MaxMatch
lilac,female,concrete-positive,concrete-positive,MaxMatch
lilac,newborn,concrete-positive,concrete-positive,MaxMatch
lilac,blooming,concrete-positive,concrete-positive,MaxMatch
lilac,orange,concrete-positive,concrete-positive,MaxMatch
lilac,starry,concrete-positive,concrete-positive,MaxMatch
lilac,pregnant,concrete-positive,concrete-positive,MaxMatch
lilac,handmade,concrete-positive,concrete-positive,MaxMatch
human,female,concrete-positive,concrete-positive,MaxMatch
human,newborn,concrete-positive,concrete-positive,MaxMatch
human,blooming,concrete-positive,concrete-positive,MaxMatch
human,orange,concrete-positive,concrete-positive,MaxMatch
