Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
worthless,sunny,abstract-negative,concrete-positive,MaxMismatch
worthless,lilac,abstract-negative,concrete-positive,MaxMismatch
worthless,human,abstract-negative,concrete-positive,MaxMismatch
worthless,female,abstract-negative,concrete-positive,MaxMismatch
worthless,newborn,abstract-negative,concrete-positive,MaxMismatch
worthless,blooming,abstract-negative,concrete-positive,MaxMismatch
worthless,orange,abstract-negative,concrete-positive,MaxMismatch
worthless,starry,abstract-negative,concrete-positive,MaxMismatch
worthless,pregnant,abstract-negative,concrete-positive,MaxMismatch
worthless,handmade,abstract-negative,concrete-positive,MaxMismatch
awful,sunny,abstract-negative,concrete-positive,MaxMismatch
awful,lilac,abstract-negative,concrete-positive,MaxMismatch
awful,human,abstract-negative,concrete-positive,MaxMismatch
awful,female,abstract-negative,concrete-positive,MaxMismatch
awful,newborn,abstract-negative,concrete-positive,MaxMismatch
awful,blooming,abstract-negative,concrete-positive,MaxMismatch
awful,orange,abstract-negative,concrete-positive,MaxMismatch
awful,starry,abstract-negative,concrete-positive,MaxMismatch
awful,pregnant,abstract-negative,concrete-positive,MaxMismatch
awful,handmade,abstract-negative,concrete-positive,MaxMismatch
evil,sunny,abstract-negative,concrete-positive,MaxMismatch
evil,lilac,abstract-negative,concrete-positive,MaxMismatch
evil,human,abstract-negative,concrete-positive,MaxMismatch
evil,female,abstract-negative,concrete-positive,MaxMismatch
evil,newborn,abstract-negative,concrete-positive,MaxMismatch
evil,blooming,abstract-negative,concrete-positive,MaxMismatch
evil,orange,abstract-negative,concrete-positive,MaxMismatch
evil,starry,abstract-negative,concrete-positive,MaxMismatch
evil,pregnant,abstract-negative,concrete-positive,MaxMismatch
evil,handmade,abstract-negative,concrete-positive,MaxMismatch
soulless,sunny,abstract-negative,concrete-positive,MaxMismatch
soulless,lilac,abstract-negative,concrete-positive,MaxMismatch
soulless,human,abstract-negative,concrete-positive,MaxMismatch
soulless,female,abstract-negative,concrete-positive,MaxMismatch
soulless,newborn,abstract-negative,concrete-positive,MaxMismatch
soulless,blooming,abstract-negative,concrete-positive,MaxMismatch
soulless,orange,abstract-negative,concrete-positive,MaxMismatch
soulless,starry,abstract-negative,concrete-positive,MaxMismatch
soulless,pregnant,abstract-negative,concrete-positive,MaxMismatch
soulless,handmade,abstract-negative,concrete-positive,MaxMismatch
heartless,sunny,abstract-negative,concrete-positive,MaxMismatch
heartless,lilac,abstract-negative,concrete-positive,MaxMismatch
heartless,human,abstract-negative,concrete-positive,MaxMismatch
heartless,female,abstract-negative,concrete-positive,MaxMismatch
heartless,newborn,abstract-negative,concrete-positive,MaxMismatch
