Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
lonliness,regret,abstract-negative,abstract-negative,MaxMatch
lonliness,anxiety,abstract-negative,abstract-negative,MaxMatch
lonliness,despair,abstract-negative,abstract-negative,MaxMatch
lonliness,guilt,abstract-negative,abstract-negative,MaxMatch
lonliness,grief,abstract-negative,abstract-negative,MaxMatch
lonliness,resentment,abstract-negative,abstract-negative,MaxMatch
lonliness,failure,abstract-negative,abstract-negative,MaxMatch
lonliness,shame,abstract-negative,abstract-negative,MaxMatch
lonliness,envy,abstract-negative,abstract-negative,MaxMatch
regret,anxiety,abstract-negative,abstract-negative,MaxMatch
regret,despair,abstract-negative,abstract-negative,MaxMatch
regret,guilt,abstract-negative,abstract-negative,MaxMatch
regret,grief,abstract-negative,abstract-negative,MaxMatch
regret,resentment,abstract-negative,abstract-negative,MaxMatch
regret,failure,abstract-negative,abstract-negative,MaxMatch
regret,shame,abstract-negative,abstract-negative,MaxMatch
regret,envy,abstract-negative,abstract-negative,MaxMatch
anxiety,despair,abstract-negative,abstract-negative,MaxMatch
anxiety,guilt,abstract-negative,abstract-negative,MaxMatch
anxiety,grief,abstract-negative,abstract-negative,MaxMatch
anxiety,resentment,abstract-negative,abstract-negative,MaxMatch
anxiety,failure,abstract-negative,abstract-negative,MaxMatch
anxiety,shame,abstract-negative,abstract-negative,MaxMatch
anxiety,envy,abstract-negative,abstract-negative,MaxMatch
despair,guilt,abstract-negative,abstract-negative,MaxMatch
despair,grief,abstract-negative,abstract-negative,MaxMatch
despair,resentment,abstract-negative,abstract-negative,MaxMatch
despair,failure,abstract-negative,abstract-negative,MaxMatch
despair,shame,abstract-negative,abstract-negative,MaxMatch
despair,envy,abstract-negative,abstract-negative,MaxMatch
guilt,grief,abstract-negative,abstract-negative,MaxMatch
guilt,resentment,abstract-negative,abstract-negative,MaxMatch
guilt,failure,abstract-negative,abstract-negative,MaxMatch
guilt,shame,abstract-negative,abstract-negative,MaxMatch
guilt,envy,abstract-negative,abstract-negative,MaxMatch
grief,resentment,abstract-negative,abstract-negative,MaxMatch
grief,failure,abstract-negative,abstract-negative,MaxMatch
