Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
build,annoy,concrete-positive,abstract-negative,MaxMismatch
build,befall,concrete-positive,abstract-negative,MaxMismatch
build,criticize,concrete-positive,abstract-negative,MaxMismatch
build,exploit,concrete-positive,abstract-negative,MaxMismatch
build,loathe,concrete-positive,abstract-negative,MaxMismatch
build,obsess,concrete-positive,abstract-negative,MaxMismatch
build,resent,concrete-positive,abstract-negative,MaxMismatch
build,scorn,concrete-positive,abstract-negative,MaxMismatch
build,violate,concrete-positive,abstract-negative,MaxMismatch
build,worry,concrete-positive,abstract-negative,MaxMismatch
cook,annoy,concrete-positive,abstract-negative,MaxMismatch
cook,befall,concrete-positive,abstract-negative,MaxMismatch
cook,criticize,concrete-positive,abstract-negative,MaxMismatch
cook,exploit,concrete-positive,abstract-negative,MaxMismatch
cook,loathe,concrete-positive,abstract-negative,MaxMismatch
cook,obsess,concrete-positive,abstract-negative,MaxMismatch
cook,resent,concrete-positive,abstract-negative,MaxMismatch
cook,scorn,concrete-positive,abstract-negative,MaxMismatch
cook,violate,concrete-positive,abstract-negative,MaxMismatch
cook,worry,concrete-positive,abstract-negative,MaxMismatch
cuddle,annoy,concrete-positive,abstract-negative,MaxMismatch
cuddle,befall,concrete-positive,abstract-negative,MaxMismatch
cuddle,criticize,concrete-positive,abstract-negative,MaxMismatch
cuddle,exploit,concrete-positive,abstract-negative,MaxMismatch
cuddle,loathe,concrete-positive,abstract-negative,MaxMismatch
cuddle,obsess,concrete-positive,abstract-negative,MaxMismatch
cuddle,resent,concrete-positive,abstract-negative,MaxMismatch
cuddle,scorn,concrete-positive,abstract-negative,MaxMismatch
cuddle,violate,concrete-positive,abstract-negative,MaxMismatch
cuddle,worry,concrete-positive,abstract-negative,MaxMismatch
eat,annoy,concrete-positive,abstract-negative,MaxMismatch
eat,befall,concrete-positive,abstract-negative,MaxMismatch
eat,criticize,concrete-positive,abstract-negative,MaxMismatch
eat,exploit,concrete-positive,abstract-negative,MaxMismatch
eat,loathe,concrete-positive,abstract-negative,MaxMismatch
eat,obsess,concrete-positive,abstract-negative,MaxMismatch
eat,resent,concrete-positive,abstract-negative,MaxMismatch
eat,scorn,concrete-positive,abstract-negative,MaxMismatch
eat,violate,concrete-positive,abstract-negative,MaxMismatch
eat,worry,concrete-positive,abstract-negative,MaxMismatch
hug,annoy,concrete-positive,abstract-negative,MaxMismatch
hug,befall,concrete-positive,abstract-negative,MaxMismatch
hug,criticize,concrete-positive,abstract-negative,MaxMismatch
hug,exploit,concrete-positive,abstract-negative,MaxMismatch
hug,loathe,concrete-positive,abstract-negative,MaxMismatch
hug,obsess,concrete-positive,abstract-negative,MaxMismatch
hug,resent,concrete-positive,abstract-negative,MaxMismatch
hug,scorn,concrete-positive,abstract-negative,MaxMismatch
hug,violate,concrete-positive,abstract-negative,MaxMismatch
hug,worry,concrete-positive,abstract-negative,MaxMismatch
kiss,annoy,concrete-positive,abstract-negative,MaxMismatch
kiss,befall,concrete-positive,abstract-negative,MaxMismatch
kiss,criticize,concrete-positive,abstract-negative,MaxMismatch
kiss,exploit,concrete-positive,abstract-negative,MaxMismatch
kiss,loathe,concrete-positive,abstract-negative,MaxMismatch
kiss,obsess,concrete-positive,abstract-negative,MaxMismatch
kiss,resent,concrete-positive,abstract-negative,MaxMismatch
kiss,scorn,concrete-positive,abstract-negative,MaxMismatch
kiss,violate,concrete-positive,abstract-negative,MaxMismatch
kiss,worry,concrete-positive,abstract-negative,MaxMismatch
