,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
95,envy,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly
30,despair,love,abstract-negative,abstract-positive,ConceptualMatchingOnly
158,hug,stench,concrete-positive,concrete-negative,ConceptualMatchingOnly
115,laughter,rust,concrete-positive,concrete-negative,ConceptualMatchingOnly
69,resentment,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly
170,rain,smoke,concrete-positive,concrete-negative,ConceptualMatchingOnly
182,chocolate,mud,concrete-positive,concrete-negative,ConceptualMatchingOnly
78,failure,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly
56,grief,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly
82,shame,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly
101,hope,freedom,abstract-positive,abstract-positive,MaxMatch
92,love,peace,abstract-positive,abstract-positive,MaxMatch
17,anxiety,despair,abstract-negative,abstract-negative,MaxMatch
79,beach,fireplace,concrete-positive,concrete-positive,MaxMatch
150,rot,stench,concrete-negative,concrete-negative,MaxMatch
67,flowers,chocolate,concrete-positive,concrete-positive,MaxMatch
80,hug,home,concrete-positive,concrete-positive,MaxMatch
162,vomit,injury,concrete-negative,concrete-negative,MaxMatch
0,lonliness,regret,abstract-negative,abstract-negative,MaxMatch
38,grief,envy,abstract-negative,abstract-negative,MaxMatch
135,peace,rust,abstract-positive,concrete-negative,MaxMismatch
73,failure,music,abstract-negative,concrete-positive,MaxMismatch
157,kindness,injury,abstract-positive,concrete-negative,MaxMismatch
28,anxiety,chocolate,abstract-negative,concrete-positive,MaxMismatch
54,grief,beach,abstract-negative,concrete-positive,MaxMismatch
114,hope,garbage,abstract-positive,concrete-negative,MaxMismatch
180,gratitude,smoke,abstract-positive,concrete-negative,MaxMismatch
9,lonliness,fireplace,abstract-negative,concrete-positive,MaxMismatch
35,despair,hug,abstract-negative,concrete-positive,MaxMismatch
47,guilt,rain,abstract-negative,concrete-positive,MaxMismatch
5,grief,grief,abstract-negative,abstract-negative,SelfPair
13,music,music,concrete-positive,concrete-positive,SelfPair
7,failure,failure,abstract-negative,abstract-negative,SelfPair
0,lonliness,lonliness,abstract-negative,abstract-negative,SelfPair
37,injury,injury,concrete-negative,concrete-negative,SelfPair
20,love,love,abstract-positive,abstract-positive,SelfPair
9,envy,envy,abstract-negative,abstract-negative,SelfPair
19,fireplace,fireplace,concrete-positive,concrete-positive,SelfPair
35,rust,rust,concrete-negative,concrete-negative,SelfPair
39,filth,filth,concrete-negative,concrete-negative,SelfPair
123,flowers,peace,concrete-positive,abstract-positive,ValenceMatchingOnly
37,despair,injury,abstract-negative,concrete-negative,ValenceMatchingOnly
4,lonliness,garbage,abstract-negative,concrete-negative,ValenceMatchingOnly
138,music,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly
145,beach,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly
177,rain,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly
90,envy,smoke,abstract-negative,concrete-negative,ValenceMatchingOnly
83,shame,vomit,abstract-negative,concrete-negative,ValenceMatchingOnly
110,laughter,love,concrete-positive,abstract-positive,ValenceMatchingOnly
169,home,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly
