,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
95,swing,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
30,eat,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
158,obsess,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
115,befall,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
69,running,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
170,scorn,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
182,violate,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
78,sail,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
56,kiss,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
82,smile,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
101,befall,loathe,abstract-negative,abstract-negative,MaxMatch
92,annoy,exploit,abstract-negative,abstract-negative,MaxMatch
17,cuddle,eat,concrete-positive,concrete-positive,MaxMatch
79,scratch,vomit,concrete-negative,concrete-negative,MaxMatch
150,enlighten,justify,abstract-positive,abstract-positive,MaxMatch
67,murder,stab,concrete-negative,concrete-negative,MaxMatch
80,slap,smack,concrete-negative,concrete-negative,MaxMatch
162,cherish,esteem,abstract-positive,abstract-positive,MaxMatch
0,build,cook,concrete-positive,concrete-positive,MaxMatch
38,kiss,swing,concrete-positive,concrete-positive,MaxMatch
135,puke,believe,concrete-negative,abstract-positive,MaxMismatch
73,sail,exploit,concrete-positive,abstract-negative,MaxMismatch
157,slap,esteem,concrete-negative,abstract-positive,MaxMismatch
28,cuddle,violate,concrete-positive,abstract-negative,MaxMismatch
54,kiss,loathe,concrete-positive,abstract-negative,MaxMismatch
114,kill,hope,concrete-negative,abstract-positive,MaxMismatch
180,stab,imagine,concrete-negative,abstract-positive,MaxMismatch
9,build,worry,concrete-positive,abstract-negative,MaxMismatch
35,eat,obsess,concrete-positive,abstract-negative,MaxMismatch
47,hug,scorn,concrete-positive,abstract-negative,MaxMismatch
5,kiss,kiss,concrete-positive,concrete-positive,SelfPair
13,puke,puke,concrete-negative,concrete-negative,SelfPair
7,sail,sail,concrete-positive,concrete-positive,SelfPair
0,build,build,concrete-positive,concrete-positive,SelfPair
37,esteem,esteem,abstract-positive,abstract-positive,SelfPair
20,annoy,annoy,abstract-negative,abstract-negative,SelfPair
9,swing,swing,concrete-positive,concrete-positive,SelfPair
19,vomit,vomit,concrete-negative,concrete-negative,SelfPair
35,believe,believe,abstract-positive,abstract-positive,SelfPair
39,respect,respect,abstract-positive,abstract-positive,SelfPair
123,murder,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly
37,eat,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly
4,build,hope,concrete-positive,abstract-positive,ValenceMatchingOnly
138,puke,violate,concrete-negative,abstract-negative,ValenceMatchingOnly
145,scratch,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly
177,spit,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly
90,swing,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly
83,smile,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly
110,kill,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly
169,smack,worry,concrete-negative,abstract-negative,ValenceMatchingOnly
