Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
worthless,worthless,abstract-negative,abstract-negative,SelfPair,an-an
worthless,awful,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,evil,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,soulless,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,heartless,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,sexist,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,crappy,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,stupid,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,sinful,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,disloyal,abstract-negative,abstract-negative,MaxMatch,an-an
worthless,sunny,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,lilac,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,human,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,female,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,newborn,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,blooming,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,orange,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,starry,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,pregnant,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,handmade,abstract-negative,concrete-positive,MaxMismatch,an-cp
worthless,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
worthless,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,headless,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
worthless,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,worthless,abstract-negative,abstract-negative,MaxMatch,an-an
awful,awful,abstract-negative,abstract-negative,SelfPair,an-an
awful,evil,abstract-negative,abstract-negative,MaxMatch,an-an
awful,soulless,abstract-negative,abstract-negative,MaxMatch,an-an
awful,heartless,abstract-negative,abstract-negative,MaxMatch,an-an
awful,sexist,abstract-negative,abstract-negative,MaxMatch,an-an
awful,crappy,abstract-negative,abstract-negative,MaxMatch,an-an
awful,stupid,abstract-negative,abstract-negative,MaxMatch,an-an
awful,sinful,abstract-negative,abstract-negative,MaxMatch,an-an
awful,disloyal,abstract-negative,abstract-negative,MaxMatch,an-an
awful,sunny,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,lilac,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,human,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,female,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,newborn,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,blooming,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,orange,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,starry,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,pregnant,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,handmade,abstract-negative,concrete-positive,MaxMismatch,an-cp
awful,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
awful,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,headless,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
awful,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
evil,worthless,abstract-negative,abstract-negative,MaxMatch,an-an
evil,awful,abstract-negative,abstract-negative,MaxMatch,an-an
evil,evil,abstract-negative,abstract-negative,SelfPair,an-an
evil,soulless,abstract-negative,abstract-negative,MaxMatch,an-an
evil,heartless,abstract-negative,abstract-negative,MaxMatch,an-an
evil,sexist,abstract-negative,abstract-negative,MaxMatch,an-an
evil,crappy,abstract-negative,abstract-negative,MaxMatch,an-an
evil,stupid,abstract-negative,abstract-negative,MaxMatch,an-an
evil,sinful,abstract-negative,abstract-negative,MaxMatch,an-an
evil,disloyal,abstract-negative,abstract-negative,MaxMatch,an-an
evil,sunny,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,lilac,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,human,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,female,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,newborn,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,blooming,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,orange,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,starry,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,pregnant,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,handmade,abstract-negative,concrete-positive,MaxMismatch,an-cp
evil,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
evil,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
evil,headless,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
evil,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
evil,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
evil,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
