Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
moldy,moldy,physical-negative,physical-negative,SelfPair,pn-pn
moldy,nauseous,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,excruciating,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,comatose,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,obese,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,lifeless,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,rancid,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,seasick,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,itchy,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,smelly,physical-negative,physical-negative,MaxMatch,pn-pn
moldy,brotherly,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,joyful,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,cheerful,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,easygoing,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,carefree,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,hilarious,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,selfless,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,dependable,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,courageous,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,witty,physical-negative,social-positive,MaxMismatch,pn-sp
moldy,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,sunny,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,blooming,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,floral,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,oceanic,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,decorative,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,homemade,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,radiant,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,newborn,physical-negative,physical-positive,ConceptualMatchingOnly,pn-pp
moldy,insulting,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,greedy,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,grumpy,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,racist,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,dreaded,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,humiliating,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,stingy,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,infuriating,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
moldy,hateful,physical-negative,social-negative,ValenceMatchingOnly,pn-sn
nauseous,moldy,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,nauseous,physical-negative,physical-negative,SelfPair,pn-pn
nauseous,excruciating,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,comatose,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,obese,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,lifeless,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,rancid,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,seasick,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,itchy,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,smelly,physical-negative,physical-negative,MaxMatch,pn-pn
nauseous,brotherly,physical-negative,social-positive,MaxMismatch,pn-sp
nauseous,joyful,physical-negative,social-positive,MaxMismatch,pn-sp
