Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
build,build,concrete-positive,concrete-positive,SelfPair,cp-cp
build,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
build,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
build,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
build,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
build,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cook,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,cook,concrete-positive,concrete-positive,SelfPair,cp-cp
cook,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
cook,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cook,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cook,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cook,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cook,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cook,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
