Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
fluffy,sunny,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,blooming,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,floral,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,oceanic,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,decorative,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,nutritious,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
fluffy,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,blooming,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,floral,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,oceanic,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,decorative,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,nutritious,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sunny,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,floral,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,oceanic,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,decorative,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,nutritious,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
blooming,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
floral,oceanic,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
floral,decorative,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
floral,nutritious,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
floral,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
floral,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
floral,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
oceanic,decorative,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
oceanic,nutritious,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
oceanic,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
oceanic,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
oceanic,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
decorative,nutritious,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
decorative,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
decorative,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
decorative,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
nutritious,homemade,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
nutritious,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
nutritious,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
homemade,radiant,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
homemade,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
radiant,newborn,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
