Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
brotherly,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
brotherly,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
joyful,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
cheerful,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
easygoing,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
carefree,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
hilarious,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
selfless,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
dependable,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,homemade,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,radiant,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
courageous,newborn,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,fluffy,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,sunny,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,blooming,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,floral,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,oceanic,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,decorative,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
witty,nutritious,social-positive,physical-positive,ValenceMatchingOnly,PositiveMatch,SocialMismatch
