Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
sunny,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,headless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,rusted,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,thorny,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,hairy,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,dirty,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,wrinkled,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,freezing,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
sunny,bloody,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,headless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,rusted,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,thorny,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,hairy,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,dirty,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,wrinkled,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,freezing,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
lilac,bloody,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,headless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,rusted,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,thorny,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,hairy,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,dirty,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,wrinkled,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,freezing,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
human,bloody,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,headless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,rusted,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,thorny,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,hairy,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,dirty,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,wrinkled,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,freezing,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
female,bloody,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,headless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,rusted,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,thorny,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,hairy,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,dirty,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,wrinkled,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,freezing,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
newborn,bloody,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
blooming,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
blooming,headless,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
blooming,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:concrete
