Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
honest,lovable,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,thankful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,splendid,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,possible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,sensible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,mindful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
honest,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,thankful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,splendid,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,possible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,sensible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,mindful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
lovable,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,splendid,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,possible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,sensible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,mindful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
thankful,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
splendid,possible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
splendid,sensible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
splendid,mindful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
splendid,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
splendid,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
splendid,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
possible,sensible,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
possible,mindful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
possible,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
possible,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
possible,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
sensible,mindful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
sensible,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
sensible,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
sensible,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
mindful,pleasant,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
mindful,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
mindful,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
pleasant,helpful,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
pleasant,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
helpful,divine,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
