Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
slave,comedian,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,puppy,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,sibling,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,duckling,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,kitten,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,bunny,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,child,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,princess,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,chipmunk,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
slave,husband,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,comedian,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,puppy,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,sibling,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,duckling,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,kitten,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,bunny,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,child,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
asshole,princess,animate-negative,animate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:animate
