Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
heroin,swastika,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,wiretap,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,cocaine,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,excrement,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,poison,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,gunshot,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
heroin,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,wiretap,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,cocaine,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,excrement,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,poison,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,gunshot,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
swastika,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,cocaine,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,excrement,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,poison,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,gunshot,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
wiretap,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
cocaine,excrement,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
cocaine,poison,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
cocaine,gunshot,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
cocaine,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
cocaine,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
cocaine,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
excrement,poison,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
excrement,gunshot,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
excrement,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
excrement,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
excrement,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
poison,gunshot,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
poison,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
poison,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
poison,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
gunshot,flood,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
gunshot,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
gunshot,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
flood,smallpox,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
flood,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
smallpox,corpse,inanimate-negative,inanimate-negative,MaxMatch,NegativeMatch,InanimateMatch
