Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
prize,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
prize,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sunshine,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
award,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
pizza,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
laughter,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
feast,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
doughnut,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
dollar,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
sandwich,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,puppy,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,sibling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,kitten,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,child,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
meadow,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,PositiveMatch,InanimateMismatch
