Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
lonliness,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,peace,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,freedom,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,compassion,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
lonliness,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,peace,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,freedom,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,compassion,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
regret,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,peace,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,freedom,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,compassion,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
anxiety,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,peace,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,freedom,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,compassion,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
despair,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
guilt,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
guilt,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:abstract
