Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
love,hope,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,joy,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,peace,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,freedom,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,kindness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,happiness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
love,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,joy,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,peace,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,freedom,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,kindness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,happiness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,peace,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,freedom,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,kindness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,happiness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
joy,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
peace,freedom,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
peace,kindness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
peace,happiness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
peace,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
peace,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
peace,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
freedom,kindness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
freedom,happiness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
freedom,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
freedom,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
freedom,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
kindness,happiness,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
kindness,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
kindness,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
kindness,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
happiness,compassion,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
happiness,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
happiness,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
compassion,gratitude,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
compassion,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
gratitude,inspiration,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
