Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
sunshine,love,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,joy,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,peace,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,freedom,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,happiness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
sunshine,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,love,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,joy,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,peace,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,freedom,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,happiness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
laughter,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,love,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,joy,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,peace,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,freedom,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,happiness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
flowers,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,love,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,joy,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,peace,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,freedom,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,happiness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
music,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,love,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,joy,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,peace,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,freedom,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,happiness,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
beach,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
hug,love,concrete-positive,abstract-positive,ValenceMatchingOnly,PositiveMatch,ConcreteMismatch
