Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
offend,despair,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,irritate,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,displease,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,dishonor,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,embarrass,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,discourage,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
offend,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,irritate,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,displease,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,dishonor,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,embarrass,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,discourage,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
despair,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,displease,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,dishonor,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,embarrass,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,discourage,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
irritate,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
displease,dishonor,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
displease,embarrass,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
displease,discourage,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
displease,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
displease,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
displease,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dishonor,embarrass,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dishonor,discourage,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dishonor,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dishonor,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dishonor,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
embarrass,discourage,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
embarrass,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
embarrass,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
embarrass,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
discourage,dismay,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
discourage,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
discourage,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dismay,criticize,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
dismay,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
criticize,dread,psychological-negative,psychological-negative,MaxMatch,NegativeMatch,PsychologicalMatch
