Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
cuddle,build,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,repair,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,caress,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
cuddle,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,repair,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,caress,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
build,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,caress,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
repair,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
caress,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
caress,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
caress,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
caress,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
caress,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
caress,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
hug,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
hug,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
hug,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
hug,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
hug,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
produce,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
produce,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
produce,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
produce,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sculpt,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sculpt,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
sculpt,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
twinkle,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
twinkle,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
decorate,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,PhysicalMatch
