Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
rust,offend,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,despair,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,irritate,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,displease,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,dishonor,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,discourage,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,dismay,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,criticize,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rust,dread,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,offend,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,despair,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,irritate,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,displease,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,dishonor,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,discourage,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,dismay,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
slaughter,criticize,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
