Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
bleed,kill,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,murder,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,puke,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,scratch,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,slap,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,smack,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
bleed,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,murder,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,puke,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,scratch,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,slap,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,smack,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
kill,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,puke,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,scratch,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,slap,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,smack,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
murder,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
puke,scratch,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
puke,slap,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
puke,smack,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
puke,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
puke,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
puke,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
scratch,slap,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
scratch,smack,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
scratch,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
scratch,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
scratch,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
slap,smack,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
slap,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
slap,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
slap,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
smack,spit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
smack,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
smack,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
spit,stab,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
spit,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
stab,vomit,concrete-negative,concrete-negative,MaxMatch,NegativeMatch,ConcreteMatch
