Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
imagine,enlighten,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,admired,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,cherish,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,hope,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,believe,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,fulfill,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
imagine,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,admired,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,cherish,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,hope,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,believe,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,fulfill,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
enlighten,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,cherish,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,hope,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,believe,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,fulfill,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
admired,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
cherish,hope,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
cherish,believe,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
cherish,fulfill,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
cherish,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
cherish,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
cherish,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,believe,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,fulfill,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
hope,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
believe,fulfill,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
believe,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
believe,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
believe,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
fulfill,esteem,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
fulfill,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
fulfill,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
esteem,justify,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
esteem,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
justify,respect,abstract-positive,abstract-positive,MaxMatch,PositiveMatch,AbstractMatch
