Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
worthless,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly
worthless,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly
awful,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly
evil,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly
soulless,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly
heartless,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,pleasant,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly
sexist,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly
crappy,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly
crappy,lovable,abstract-negative,abstract-positive,ConceptualMatchingOnly
crappy,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly
crappy,splendid,abstract-negative,abstract-positive,ConceptualMatchingOnly
crappy,possible,abstract-negative,abstract-positive,ConceptualMatchingOnly
