Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
worthless,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly
worthless,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly
awful,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly
evil,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly
soulless,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly
heartless,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly
sexist,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly
crappy,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly
crappy,headless,abstract-negative,concrete-negative,ValenceMatchingOnly
crappy,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly
crappy,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly
crappy,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly
crappy,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly
