Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
heroin,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,sunshine,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,award,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,pizza,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,laughter,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,feast,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,doughnut,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,dollar,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,sandwich,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
heroin,meadow,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,sunshine,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,award,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,pizza,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,laughter,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,feast,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,doughnut,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,dollar,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,sandwich,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
swastika,meadow,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
wiretap,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
wiretap,sunshine,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,NegativeMismatch,ConceptualMatch:inanimate
