Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
prize,sunshine,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,award,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,pizza,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,laughter,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,feast,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,doughnut,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
prize,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,award,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,pizza,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,laughter,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,feast,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,doughnut,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sunshine,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,pizza,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,laughter,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,feast,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,doughnut,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
award,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
pizza,laughter,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
pizza,feast,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
pizza,doughnut,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
pizza,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
pizza,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
pizza,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
laughter,feast,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
laughter,doughnut,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
laughter,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
laughter,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
laughter,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
feast,doughnut,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
feast,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
feast,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
feast,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
doughnut,dollar,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
doughnut,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
doughnut,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
dollar,sandwich,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
dollar,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
sandwich,meadow,inanimate-positive,inanimate-positive,MaxMatch,PositiveMatch,InanimateMatch
