Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
slave,comedian,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,puppy,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,sibling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,duckling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,kitten,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,bunny,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,child,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,princess,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,chipmunk,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
slave,husband,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,comedian,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,puppy,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,sibling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,duckling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,kitten,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,bunny,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,child,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,princess,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,chipmunk,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
asshole,husband,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,comedian,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,puppy,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,sibling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,duckling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,kitten,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,bunny,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,child,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,princess,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,chipmunk,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
maggot,husband,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,comedian,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,puppy,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,sibling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,duckling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,kitten,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,bunny,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,child,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,princess,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,chipmunk,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
widow,husband,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
inmate,comedian,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
inmate,puppy,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
inmate,sibling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
inmate,duckling,animate-negative,animate-positive,MaxMismatch,NegativeMismatch,AnimateMismatch
