,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
142,grief,gratitude,noun-negative,noun-positive,ConceptualMatchingOnly
6,toxin,chocolate,noun-negative,noun-postiive,ConceptualMatchingOnly
97,stab,glisten,verb-negative,verb-postiive,ConceptualMatchingOnly
60,fester,admire,verb-negative,verb-positive,ConceptualMatchingOnly
181,resent,cherish,verb-negative,verb-positive,ConceptualMatchingOnly
104,terror,kindness,noun-negative,noun-positive,ConceptualMatchingOnly
200,compassion,beach,noun-positive,noun-postiive,ConceptualMatchingOnly
236,enlighten,breathe,verb-positive,verb-postiive,ConceptualMatchingOnly
240,fulfill,glide,verb-positive,verb-postiive,ConceptualMatchingOnly
194,obsess,imagine,verb-negative,verb-positive,ConceptualMatchingOnly
71,terror,anxiety,noun-negative,noun-negative,MaxMatch
43,choke,obsess,verb-negative,verb-negative,MaxMatch
15,garbage,failure,noun-negative,noun-negative,MaxMatch
2,toxin,corpse,noun-negative,noun-negative,MaxMatch
114,chocolate,fireplace,noun-postiive,noun-postiive,MaxMatch
113,beach,home,noun-postiive,noun-postiive,MaxMatch
56,writhe,exploit,verb-negative,verb-negative,MaxMatch
126,breathe,running,verb-postiive,verb-postiive,MaxMatch
106,cherish,imagine,verb-positive,verb-positive,MaxMatch
94,freedom,gratitude,noun-positive,noun-positive,MaxMatch
124,anxiety,imagine,noun-negative,verb-positive,MaxMismatch
61,fester,freedom,verb-negative,noun-positive,MaxMismatch
202,compassion,glisten,noun-positive,verb-postiive,MaxMismatch
149,grief,running,noun-negative,verb-postiive,MaxMismatch
43,slave,fulfill,noun-negative,verb-positive,MaxMismatch
158,befall,flowers,verb-negative,noun-postiive,MaxMismatch
174,exploit,kindness,verb-negative,noun-positive,MaxMismatch
52,choke,gratitude,verb-negative,noun-positive,MaxMismatch
30,corpse,admire,noun-negative,verb-positive,MaxMismatch
77,writhe,fireplace,verb-negative,noun-postiive,MaxMismatch
5,choke,choke,verb-negative,verb-negative,SelfPair
13,failure,failure,noun-negative,noun-negative,SelfPair
7,writhe,writhe,verb-negative,verb-negative,SelfPair
0,toxin,toxin,noun-negative,noun-negative,SelfPair
37,glisten,glisten,verb-postiive,verb-postiive,SelfPair
20,compassion,compassion,noun-positive,noun-positive,SelfPair
9,stab,stab,verb-negative,verb-negative,SelfPair
19,obsess,obsess,verb-negative,verb-negative,SelfPair
35,glide,glide,verb-postiive,verb-postiive,SelfPair
39,running,running,verb-postiive,verb-postiive,SelfPair
4,toxin,stab,noun-negative,verb-negative,ValenceMatchingOnly
54,choke,grief,verb-negative,noun-negative,ValenceMatchingOnly
106,freedom,cherish,noun-positive,verb-positive,ValenceMatchingOnly
131,chocolate,breathe,noun-postiive,verb-postiive,ValenceMatchingOnly
42,slave,writhe,noun-negative,verb-negative,ValenceMatchingOnly
94,failure,obsess,noun-negative,verb-negative,ValenceMatchingOnly
78,terror,resent,noun-negative,verb-negative,ValenceMatchingOnly
135,fireplace,glide,noun-postiive,verb-postiive,ValenceMatchingOnly
103,compassion,fulfill,noun-positive,verb-positive,ValenceMatchingOnly
11,garbage,fester,noun-negative,verb-negative,ValenceMatchingOnly
