Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
cuddle,build,physical-positive,physical-positive,MaxMatch
cuddle,repair,physical-positive,physical-positive,MaxMatch
cuddle,caress,physical-positive,physical-positive,MaxMatch
cuddle,hug,physical-positive,physical-positive,MaxMatch
cuddle,produce,physical-positive,physical-positive,MaxMatch
cuddle,sculpt,physical-positive,physical-positive,MaxMatch
cuddle,twinkle,physical-positive,physical-positive,MaxMatch
cuddle,decorate,physical-positive,physical-positive,MaxMatch
cuddle,clean,physical-positive,physical-positive,MaxMatch
build,repair,physical-positive,physical-positive,MaxMatch
build,caress,physical-positive,physical-positive,MaxMatch
build,hug,physical-positive,physical-positive,MaxMatch
build,produce,physical-positive,physical-positive,MaxMatch
build,sculpt,physical-positive,physical-positive,MaxMatch
build,twinkle,physical-positive,physical-positive,MaxMatch
build,decorate,physical-positive,physical-positive,MaxMatch
build,clean,physical-positive,physical-positive,MaxMatch
repair,caress,physical-positive,physical-positive,MaxMatch
repair,hug,physical-positive,physical-positive,MaxMatch
repair,produce,physical-positive,physical-positive,MaxMatch
repair,sculpt,physical-positive,physical-positive,MaxMatch
repair,twinkle,physical-positive,physical-positive,MaxMatch
repair,decorate,physical-positive,physical-positive,MaxMatch
repair,clean,physical-positive,physical-positive,MaxMatch
caress,hug,physical-positive,physical-positive,MaxMatch
caress,produce,physical-positive,physical-positive,MaxMatch
caress,sculpt,physical-positive,physical-positive,MaxMatch
caress,twinkle,physical-positive,physical-positive,MaxMatch
caress,decorate,physical-positive,physical-positive,MaxMatch
caress,clean,physical-positive,physical-positive,MaxMatch
hug,produce,physical-positive,physical-positive,MaxMatch
hug,sculpt,physical-positive,physical-positive,MaxMatch
hug,twinkle,physical-positive,physical-positive,MaxMatch
hug,decorate,physical-positive,physical-positive,MaxMatch
hug,clean,physical-positive,physical-positive,MaxMatch
produce,sculpt,physical-positive,physical-positive,MaxMatch
produce,twinkle,physical-positive,physical-positive,MaxMatch
produce,decorate,physical-positive,physical-positive,MaxMatch
produce,clean,physical-positive,physical-positive,MaxMatch
sculpt,twinkle,physical-positive,physical-positive,MaxMatch
sculpt,decorate,physical-positive,physical-positive,MaxMatch
sculpt,clean,physical-positive,physical-positive,MaxMatch
twinkle,decorate,physical-positive,physical-positive,MaxMatch
twinkle,clean,physical-positive,physical-positive,MaxMatch
decorate,clean,physical-positive,physical-positive,MaxMatch
content,encourage,psychological-positive,psychological-positive,MaxMatch
content,appreciate,psychological-positive,psychological-positive,MaxMatch
content,impress,psychological-positive,psychological-positive,MaxMatch
content,like,psychological-positive,psychological-positive,MaxMatch
content,reassure,psychological-positive,psychological-positive,MaxMatch
content,respect,psychological-positive,psychological-positive,MaxMatch
content,admire,psychological-positive,psychological-positive,MaxMatch
content,adore,psychological-positive,psychological-positive,MaxMatch
content,cherish,psychological-positive,psychological-positive,MaxMatch
encourage,appreciate,psychological-positive,psychological-positive,MaxMatch
encourage,impress,psychological-positive,psychological-positive,MaxMatch
encourage,like,psychological-positive,psychological-positive,MaxMatch
encourage,reassure,psychological-positive,psychological-positive,MaxMatch
encourage,respect,psychological-positive,psychological-positive,MaxMatch
encourage,admire,psychological-positive,psychological-positive,MaxMatch
encourage,adore,psychological-positive,psychological-positive,MaxMatch
encourage,cherish,psychological-positive,psychological-positive,MaxMatch
appreciate,impress,psychological-positive,psychological-positive,MaxMatch
appreciate,like,psychological-positive,psychological-positive,MaxMatch
appreciate,reassure,psychological-positive,psychological-positive,MaxMatch
appreciate,respect,psychological-positive,psychological-positive,MaxMatch
appreciate,admire,psychological-positive,psychological-positive,MaxMatch
appreciate,adore,psychological-positive,psychological-positive,MaxMatch
appreciate,cherish,psychological-positive,psychological-positive,MaxMatch
impress,like,psychological-positive,psychological-positive,MaxMatch
impress,reassure,psychological-positive,psychological-positive,MaxMatch
impress,respect,psychological-positive,psychological-positive,MaxMatch
impress,admire,psychological-positive,psychological-positive,MaxMatch
impress,adore,psychological-positive,psychological-positive,MaxMatch
impress,cherish,psychological-positive,psychological-positive,MaxMatch
like,reassure,psychological-positive,psychological-positive,MaxMatch
like,respect,psychological-positive,psychological-positive,MaxMatch
like,admire,psychological-positive,psychological-positive,MaxMatch
like,adore,psychological-positive,psychological-positive,MaxMatch
like,cherish,psychological-positive,psychological-positive,MaxMatch
reassure,respect,psychological-positive,psychological-positive,MaxMatch
reassure,admire,psychological-positive,psychological-positive,MaxMatch
