Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
content,encourage,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,appreciate,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,impress,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
content,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,appreciate,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,impress,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
encourage,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,impress,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
appreciate,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
impress,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
impress,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
impress,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
impress,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
impress,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
impress,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
like,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
like,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
like,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
like,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
like,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
reassure,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
reassure,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
reassure,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
reassure,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
respect,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
respect,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
respect,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
admire,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
admire,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
adore,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,PsychologicalMatch
