Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
cuddle,content,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,impress,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,like,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,respect,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,admire,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,adore,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
cuddle,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,content,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,impress,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,like,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,respect,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,admire,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,adore,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
build,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,content,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,impress,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,like,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,respect,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,admire,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,adore,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
repair,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,content,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,impress,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,like,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,respect,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,admire,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,adore,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
caress,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,content,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,impress,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,like,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,respect,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,admire,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,adore,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
hug,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,PositiveMatch,PhysicalMismatch
