Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
build,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
build,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
cook,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
cuddle,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
eat,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
hug,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
kiss,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
running,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
sail,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
