Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Group
build,build,concrete-positive,concrete-positive,SelfPair,A
cook,cook,concrete-positive,concrete-positive,SelfPair,B
cuddle,cuddle,concrete-positive,concrete-positive,SelfPair,C
eat,eat,concrete-positive,concrete-positive,SelfPair,D
hug,hug,concrete-positive,concrete-positive,SelfPair,E
kiss,kiss,concrete-positive,concrete-positive,SelfPair,F
running,running,concrete-positive,concrete-positive,SelfPair,G
sail,sail,concrete-positive,concrete-positive,SelfPair,H
smile,smile,concrete-positive,concrete-positive,SelfPair,I
swing,swing,concrete-positive,concrete-positive,SelfPair,J
bleed,bleed,concrete-negative,concrete-negative,SelfPair,AA
kill,kill,concrete-negative,concrete-negative,SelfPair,BB
murder,murder,concrete-negative,concrete-negative,SelfPair,CC
puke,puke,concrete-negative,concrete-negative,SelfPair,DD
scratch,scratch,concrete-negative,concrete-negative,SelfPair,EE
slap,slap,concrete-negative,concrete-negative,SelfPair,FF
smack,smack,concrete-negative,concrete-negative,SelfPair,GG
spit,spit,concrete-negative,concrete-negative,SelfPair,HH
stab,stab,concrete-negative,concrete-negative,SelfPair,II
vomit,vomit,concrete-negative,concrete-negative,SelfPair,JJ
annoy,annoy,abstract-negative,abstract-negative,SelfPair,AAA
befall,befall,abstract-negative,abstract-negative,SelfPair,BBB
criticize,criticize,abstract-negative,abstract-negative,SelfPair,CCC
exploit,exploit,abstract-negative,abstract-negative,SelfPair,DDD
loathe,loathe,abstract-negative,abstract-negative,SelfPair,EEE
obsess,obsess,abstract-negative,abstract-negative,SelfPair,FFF
resent,resent,abstract-negative,abstract-negative,SelfPair,GGG
scorn,scorn,abstract-negative,abstract-negative,SelfPair,HHH
violate,violate,abstract-negative,abstract-negative,SelfPair,III
worry,worry,abstract-negative,abstract-negative,SelfPair,JJJ
imagine,imagine,abstract-positive,abstract-positive,SelfPair,AAAA
enlighten,enlighten,abstract-positive,abstract-positive,SelfPair,BBBB
admired,admired,abstract-positive,abstract-positive,SelfPair,CCCC
cherish,cherish,abstract-positive,abstract-positive,SelfPair,DDDD
hope,hope,abstract-positive,abstract-positive,SelfPair,EEEE
believe,believe,abstract-positive,abstract-positive,SelfPair,FFFF
fulfill,fulfill,abstract-positive,abstract-positive,SelfPair,GGGG
esteem,esteem,abstract-positive,abstract-positive,SelfPair,HHHH
justify,justify,abstract-positive,abstract-positive,SelfPair,IIII
respect,respect,abstract-positive,abstract-positive,SelfPair,JJJJ
