Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
bleed,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
bleed,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
kill,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
murder,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
puke,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
scratch,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
slap,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
smack,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,befall,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,criticize,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,exploit,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,loathe,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,obsess,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,resent,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,scorn,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,violate,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
spit,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
stab,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,NegativeMatch,ConcreteMismatch
