,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
95,corpse,feast,inanimate-negative,inanimate-positive,ConceptualMatchingOnly
30,cocaine,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly
158,dictator,chipmunk,animate-negative,animate-positive,ConceptualMatchingOnly
115,asshole,bunny,animate-negative,animate-positive,ConceptualMatchingOnly
69,gunshot,meadow,inanimate-negative,inanimate-positive,ConceptualMatchingOnly
170,tapeworm,comedian,animate-negative,animate-positive,ConceptualMatchingOnly
182,intruder,sibling,animate-negative,animate-positive,ConceptualMatchingOnly
78,flood,sandwich,inanimate-negative,inanimate-positive,ConceptualMatchingOnly
56,poison,doughnut,inanimate-negative,inanimate-positive,ConceptualMatchingOnly
82,smallpox,award,inanimate-negative,inanimate-positive,ConceptualMatchingOnly
101,asshole,inmate,animate-negative,animate-negative,MaxMatch
92,slave,widow,animate-negative,animate-negative,MaxMatch
17,wiretap,cocaine,inanimate-negative,inanimate-negative,MaxMatch
79,laughter,meadow,inanimate-positive,inanimate-positive,MaxMatch
150,puppy,chipmunk,animate-positive,animate-positive,MaxMatch
67,award,sandwich,inanimate-positive,inanimate-positive,MaxMatch
80,feast,doughnut,inanimate-positive,inanimate-positive,MaxMatch
162,duckling,princess,animate-positive,animate-positive,MaxMatch
0,heroin,swastika,inanimate-negative,inanimate-negative,MaxMatch
38,poison,corpse,inanimate-negative,inanimate-negative,MaxMatch
135,pizza,dictator,inanimate-positive,animate-negative,MaxMismatch
73,flood,duckling,inanimate-negative,animate-positive,MaxMismatch
157,feast,tapeworm,inanimate-positive,animate-negative,MaxMismatch
28,wiretap,chipmunk,inanimate-negative,animate-positive,MaxMismatch
54,poison,kitten,inanimate-negative,animate-positive,MaxMismatch
114,sunshine,inmate,inanimate-positive,animate-negative,MaxMismatch
180,sandwich,slave,inanimate-positive,animate-negative,MaxMismatch
9,heroin,husband,inanimate-negative,animate-positive,MaxMismatch
35,cocaine,bunny,inanimate-negative,animate-positive,MaxMismatch
47,excrement,princess,inanimate-negative,animate-positive,MaxMismatch
5,poison,poison,inanimate-negative,inanimate-negative,SelfPair
13,pizza,pizza,inanimate-positive,inanimate-positive,SelfPair
7,flood,flood,inanimate-negative,inanimate-negative,SelfPair
0,heroin,heroin,inanimate-negative,inanimate-negative,SelfPair
37,princess,princess,animate-positive,animate-positive,SelfPair
20,slave,slave,animate-negative,animate-negative,SelfPair
9,corpse,corpse,inanimate-negative,inanimate-negative,SelfPair
19,meadow,meadow,inanimate-positive,inanimate-positive,SelfPair
35,bunny,bunny,animate-positive,animate-positive,SelfPair
39,husband,husband,animate-positive,animate-positive,SelfPair
123,award,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly
37,cocaine,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly
4,heroin,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly
138,pizza,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly
145,laughter,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly
177,dollar,princess,inanimate-positive,animate-positive,ValenceMatchingOnly
90,corpse,slave,inanimate-negative,animate-negative,ValenceMatchingOnly
83,smallpox,widow,inanimate-negative,animate-negative,ValenceMatchingOnly
110,sunshine,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly
169,doughnut,husband,inanimate-positive,animate-positive,ValenceMatchingOnly
