Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
cuddle,build,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,repair,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,caress,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
cuddle,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,repair,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,caress,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
build,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,caress,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
repair,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
caress,hug,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
caress,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
caress,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
caress,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
caress,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
caress,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
hug,produce,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
hug,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
hug,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
hug,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
hug,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
produce,sculpt,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
produce,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
produce,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
produce,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
sculpt,twinkle,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
sculpt,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
sculpt,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
twinkle,decorate,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
twinkle,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
decorate,clean,physical-positive,physical-positive,MaxMatch,PositiveMatch,ConceptualMatch:physical
