Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
heroin,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,leech,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,intruder,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
heroin,mugger,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,leech,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,intruder,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
swastika,mugger,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,leech,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,intruder,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
wiretap,mugger,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,leech,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,intruder,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
cocaine,mugger,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,leech,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,intruder,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
excrement,mugger,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
poison,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
poison,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
poison,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
poison,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
poison,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
poison,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,NegativeMatch,InanimateMismatch
