Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
annoy,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
annoy,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
befall,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
criticize,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
exploit,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
loathe,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
obsess,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,esteem,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,justify,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
resent,respect,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,imagine,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,enlighten,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,admired,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,cherish,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,hope,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,believe,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
scorn,fulfill,abstract-negative,abstract-positive,MaxMismatch,NegativeMismatch,AbstractMismatch
