Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
sunny,lilac,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,human,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,female,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,newborn,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,blooming,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,orange,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
sunny,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,human,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,female,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,newborn,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,blooming,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,orange,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
lilac,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,female,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,newborn,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,blooming,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,orange,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
human,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
female,newborn,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
female,blooming,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
female,orange,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
female,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
female,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
female,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
newborn,blooming,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
newborn,orange,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
newborn,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
newborn,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
newborn,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
blooming,orange,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
blooming,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
blooming,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
blooming,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
orange,starry,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
orange,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
orange,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
starry,pregnant,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
starry,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
pregnant,handmade,concrete-positive,concrete-positive,MaxMatch,PositiveMatch,ConcreteMatch
