Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
worthless,awful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,evil,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,soulless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,heartless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,sexist,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,crappy,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
worthless,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,evil,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,soulless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,heartless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,sexist,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,crappy,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
awful,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,soulless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,heartless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,sexist,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,crappy,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
evil,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
soulless,heartless,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
soulless,sexist,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
soulless,crappy,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
soulless,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
soulless,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
soulless,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
heartless,sexist,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
heartless,crappy,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
heartless,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
heartless,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
heartless,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
sexist,crappy,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
sexist,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
sexist,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
sexist,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
crappy,stupid,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
crappy,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
crappy,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
stupid,sinful,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
stupid,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
sinful,disloyal,abstract-negative,abstract-negative,MaxMatch,NegativeMatch,AbstractMatch
