Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Group
worthless,worthless,abstract-negative,abstract-negative,SelfPair,A
awful,awful,abstract-negative,abstract-negative,SelfPair,B
evil,evil,abstract-negative,abstract-negative,SelfPair,C
soulless,soulless,abstract-negative,abstract-negative,SelfPair,D
heartless,heartless,abstract-negative,abstract-negative,SelfPair,E
sexist,sexist,abstract-negative,abstract-negative,SelfPair,F
crappy,crappy,abstract-negative,abstract-negative,SelfPair,G
stupid,stupid,abstract-negative,abstract-negative,SelfPair,H
sinful,sinful,abstract-negative,abstract-negative,SelfPair,I
disloyal,disloyal,abstract-negative,abstract-negative,SelfPair,J
sunny,sunny,concrete-positive,concrete-positive,SelfPair,AA
lilac,lilac,concrete-positive,concrete-positive,SelfPair,BB
human,human,concrete-positive,concrete-positive,SelfPair,CC
female,female,concrete-positive,concrete-positive,SelfPair,DD
newborn,newborn,concrete-positive,concrete-positive,SelfPair,EE
blooming,blooming,concrete-positive,concrete-positive,SelfPair,FF
orange,orange,concrete-positive,concrete-positive,SelfPair,GG
starry,starry,concrete-positive,concrete-positive,SelfPair,HH
pregnant,pregnant,concrete-positive,concrete-positive,SelfPair,II
handmade,handmade,concrete-positive,concrete-positive,SelfPair,JJ
honest,honest,abstract-positive,abstract-positive,SelfPair,AAA
lovable,lovable,abstract-positive,abstract-positive,SelfPair,BBB
thankful,thankful,abstract-positive,abstract-positive,SelfPair,CCC
splendid,splendid,abstract-positive,abstract-positive,SelfPair,DDD
possible,possible,abstract-positive,abstract-positive,SelfPair,EEE
sensible,sensible,abstract-positive,abstract-positive,SelfPair,FFF
mindful,mindful,abstract-positive,abstract-positive,SelfPair,GGG
pleasant,pleasant,abstract-positive,abstract-positive,SelfPair,HHH
helpful,helpful,abstract-positive,abstract-positive,SelfPair,III
divine,divine,abstract-positive,abstract-positive,SelfPair,JJJ
toothless,toothless,concrete-negative,concrete-negative,SelfPair,AAAA
headless,headless,concrete-negative,concrete-negative,SelfPair,BBBB
bloodshot,bloodshot,concrete-negative,concrete-negative,SelfPair,CCCC
rusted,rusted,concrete-negative,concrete-negative,SelfPair,DDDD
thorny,thorny,concrete-negative,concrete-negative,SelfPair,EEEE
hairy,hairy,concrete-negative,concrete-negative,SelfPair,FFFF
dirty,dirty,concrete-negative,concrete-negative,SelfPair,GGGG
wrinkled,wrinkled,concrete-negative,concrete-negative,SelfPair,HHHH
freezing,freezing,concrete-negative,concrete-negative,SelfPair,IIII
bloody,bloody,concrete-negative,concrete-negative,SelfPair,JJJJ
